Name,Source,ClassName,ClassSource,Level,Description
Rage,XPHB,Barbarian,XPHB,1,"[""You can imbue yourself with a primal power called Rage, a force that grants you extraordinary might and resilience. You can enter it as a {@variantrule Bonus Action|XPHB} if you aren't wearing Heavy armor."", ""You can enter your Rage the number of times shown for your Barbarian level in the Rages column of the Barbarian Features table. You regain one expended use when you finish a {@variantrule Short Rest|XPHB}, and you regain all expended uses when you finish a {@variantrule Long Rest|XPHB}."", ""While active, your Rage follows the rules below."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Damage Resistance"", ""entries"": [""You have {@variantrule Resistance|XPHB} to Bludgeoning, Piercing, and Slashing damage.""]}, {""type"": ""entries"", ""name"": ""Rage Damage"", ""entries"": [""When you make an attack using Strength—with either a weapon or an {@variantrule Unarmed Strike|XPHB}—and deal damage to the target, you gain a bonus to the damage that increases as you gain levels as a Barbarian, as shown in the Rage Damage column of the Barbarian Features table.""]}, {""type"": ""entries"", ""name"": ""Strength Advantage"", ""entries"": [""You have {@variantrule Advantage|XPHB} on Strength checks and Strength saving throws.""]}, {""type"": ""entries"", ""name"": ""No Concentration or Spells"", ""entries"": [""You can't maintain {@status Concentration|XPHB}, and you can't cast spells.""]}, {""type"": ""entries"", ""name"": ""Duration"", ""entries"": [""The Rage lasts until the end of your next turn, and it ends early if you don Heavy armor or have the {@condition Incapacitated|XPHB} condition. If your Rage is still active on your next turn, you can extend the Rage for another round by doing one of the following:"", {""type"": ""list"", ""items"": [""Make an attack roll against an enemy."", ""Force an enemy to make a saving throw."", ""Take a {@variantrule Bonus Action|XPHB} to extend your Rage.""]}]}]}, ""Each time the Rage is extended, it lasts until the end of your next turn. You can maintain a Rage for up to 10 minutes.""]"
Unarmored Defense,XPHB,Barbarian,XPHB,1,"[""While you aren't wearing any armor, your base {@variantrule Armor Class|XPHB} equals 10 plus your Dexterity and Constitution modifiers. You can use a {@item Shield|XPHB} and still gain this benefit.""]"
Weapon Mastery,XPHB,Barbarian,XPHB,1,"[""Your training with weapons allows you to use the {@variantrule weapon mastery properties|XPHB|mastery properties} of two kinds of {@filter Simple|items|type=simple weapon;melee weapon=sand} or {@filter Martial Melee weapons|items|type=martial weapon;melee weapon=sand} of your choice, such as {@item Greataxe|XPHB|Greataxes} and {@item Handaxe|XPHB|Handaxes}. Whenever you finish a {@variantrule Long Rest|XPHB}, you can practice weapon drills and change one of those weapon choices."", ""When you reach certain Barbarian levels, you gain the ability to use the {@variantrule weapon mastery properties|XPHB|mastery properties} of more kinds of weapons, as shown in the Weapon Mastery column of the Barbarian Features table.""]"
Danger Sense,XPHB,Barbarian,XPHB,2,"[""You gain an uncanny sense of when things aren't as they should be, giving you an edge when you dodge perils. You have {@variantrule Advantage|XPHB} on Dexterity saving throws unless you have the {@condition Incapacitated|XPHB} condition.""]"
Reckless Attack,XPHB,Barbarian,XPHB,2,"[""You can throw aside all concern for defense to attack with increased ferocity. When you make your first attack roll on your turn, you can decide to attack recklessly. Doing so gives you {@variantrule Advantage|XPHB} on attack rolls using Strength until the start of your next turn, but attack rolls against you have {@variantrule Advantage|XPHB} during that time.""]"
Barbarian Subclass,XPHB,Barbarian,XPHB,3,"[""You gain a Barbarian subclass of your choice. A subclass is a specialization that grants you features at certain Barbarian levels. For the rest of your career, you gain each of your subclass's features that are of your Barbarian level or lower.""]"
Primal Knowledge,XPHB,Barbarian,XPHB,3,"[""You gain proficiency in another skill of your choice from the skill list available to Barbarians at level 1."", ""In addition, while your Rage is active, you can channel primal power when you attempt certain tasks; whenever you make an ability check using one of the following skills, you can make it as a Strength check even if it normally uses a different ability: {@skill Acrobatics|XPHB}, {@skill Intimidation|XPHB}, {@skill Perception|XPHB}, {@skill Stealth|XPHB}, or {@skill Survival|XPHB}. When you use this ability, your Strength represents primal power coursing through you, honing your agility, bearing, and senses.""]"
Ability Score Improvement,XPHB,Barbarian,XPHB,4,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify. You gain this feature again at Barbarian levels 8, 12, and 16.""]"
Extra Attack,XPHB,Barbarian,XPHB,5,"[""You can attack twice instead of once whenever you take the {@action Attack|XPHB} action on your turn.""]"
Fast Movement,XPHB,Barbarian,XPHB,5,"[""Your speed increases by 10 feet while you aren't wearing Heavy armor.""]"
Subclass Feature,XPHB,Barbarian,XPHB,6,"[""You gain a feature from your Barbarian subclass.""]"
Feral Instinct,XPHB,Barbarian,XPHB,7,"[""Your instincts are so honed that you have {@variantrule Advantage|XPHB} on {@variantrule Initiative|XPHB} rolls.""]"
Instinctive Pounce,XPHB,Barbarian,XPHB,7,"[""As part of the {@variantrule Bonus Action|XPHB} you take to enter your Rage, you can move up to half your {@variantrule Speed|XPHB}.""]"
Ability Score Improvement,XPHB,Barbarian,XPHB,8,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Brutal Strike,XPHB,Barbarian,XPHB,9,"[""If you use Reckless Attack, you can forgo any {@variantrule Advantage|XPHB} on one Strength-based attack roll of your choice on your turn. The chosen attack roll mustn't have {@variantrule Disadvantage|XPHB}. If the chosen attack roll hits, the target takes an extra {@damage 1d10} damage of the same type dealt by the weapon or {@variantrule Unarmed Strike|XPHB}, and you can cause one Brutal Strike effect of your choice. You have the following effect options."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Forceful Blow"", ""entries"": [""The target is pushed 15 feet straight away from you. You can then move up to half your {@variantrule Speed|XPHB} straight toward the target without provoking {@action Opportunity Attack|XPHB|Opportunity Attacks}.""]}, {""type"": ""entries"", ""name"": ""Hamstring Blow"", ""entries"": [""The target's {@variantrule Speed|XPHB} is reduced by 15 feet until the start of your next turn. A target can be affected by only one Hamstring Blow at a time—the most recent one.""]}]}]"
Subclass Feature,XPHB,Barbarian,XPHB,10,"[""You gain a feature from your Barbarian subclass.""]"
Relentless Rage,XPHB,Barbarian,XPHB,11,"[""Your Rage can keep you fighting despite grievous wounds. If you drop to 0 {@variantrule Hit Points|XPHB} while your Rage is active and don't die outright, you can make a {@dc 10} Constitution saving throw. If you succeed, your {@variantrule Hit Points|XPHB} instead change to a number equal to twice your Barbarian level."", ""Each time you use this feature after the first, the DC increases by 5. When you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}, the DC resets to 10.""]"
Ability Score Improvement,XPHB,Barbarian,XPHB,12,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Improved Brutal Strike,XPHB,Barbarian,XPHB,13,"[""You have honed new ways to attack furiously. The following effects are now among your Brutal Strike options."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Staggering Blow"", ""entries"": [""The target has {@variantrule Disadvantage|XPHB} on the next saving throw it makes, and it can't make {@action Opportunity Attack|XPHB|Opportunity Attacks} until the start of your next turn.""]}, {""type"": ""entries"", ""name"": ""Sundering Blow"", ""entries"": [""Before the start of your next turn, the next attack roll made by another creature against the target gains a +5 bonus to the roll. An attack roll can gain only one Sundering Blow bonus.""]}]}]"
Subclass Feature,XPHB,Barbarian,XPHB,14,"[""You gain a feature from your Barbarian subclass.""]"
Persistent Rage,XPHB,Barbarian,XPHB,15,"[""When you roll {@variantrule Initiative|XPHB}, you can regain all expended uses of Rage. After you regain uses of Rage in this way, you can't do so again until you finish a {@variantrule Long Rest|XPHB}."", ""In addition, your Rage is so fierce that it now lasts for 10 minutes without you needing to do anything to extend it from round to round. Your Rage ends early if you have the {@condition Unconscious|XPHB} condition (not just the {@condition Incapacitated|XPHB} condition) or don Heavy armor.""]"
Ability Score Improvement,XPHB,Barbarian,XPHB,16,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Improved Brutal Strike,XPHB,Barbarian,XPHB,17,"[""The extra damage of your Brutal Strike increases to {@damage 2d10}. In addition, you can use two different Brutal Strike effects whenever you use your Brutal Strike feature.""]"
Indomitable Might,XPHB,Barbarian,XPHB,18,"[""If your total for a Strength check or Strength saving throw is less than your Strength score, you can use that score in place of the total.""]"
Epic Boon,XPHB,Barbarian,XPHB,19,"[""You gain an {@filter Epic Boon feat|feats|category=EB} or another {@5etools feat|feats.html} of your choice for which you qualify. {@feat Boon of Irresistible Offense|XPHB} is recommended.""]"
Primal Champion,XPHB,Barbarian,XPHB,20,"[""You embody primal power. Your Strength and Constitution scores increase by 4, to a maximum of 25.""]"
Innate Sorcery,XPHB,Sorcerer,XPHB,1,"[""An event in your past left an indelible mark on you, infusing you with simmering magic. As a {@variantrule Bonus Action|XPHB}, you can unleash that magic for 1 minute, during which you gain the following benefits:"", {""type"": ""list"", ""items"": [""The spell save DC of your Sorcerer spells increases by 1."", ""You have {@variantrule Advantage|XPHB} on the attack rolls of Sorcerer spells you cast.""]}, ""You can use this feature twice, and you regain all expended uses of it when you finish a {@variantrule Long Rest|XPHB}.""]"
Spellcasting,XPHB,Sorcerer,XPHB,1,"[""Drawing from your innate magic, you can cast spells. See {@book chapter 7|XPHB|7} for the rules on spellcasting. The information below details how you use those rules with Sorcerer spells, which appear in the {@filter Sorcerer spell list|spells|class=Sorcerer} later in the class's description."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""You know four Sorcerer cantrips of your choice. {@spell Light|XPHB}, {@spell Prestidigitation|XPHB}, {@spell Shocking Grasp|XPHB}, and {@spell Sorcerous Burst|XPHB} are recommended. Whenever you gain a Sorcerer level, you can replace one of your cantrips from this feature with another Sorcerer cantrip of your choice."", ""When you reach Sorcerer levels 4 and 10, you learn another Sorcerer cantrip of your choice, as shown in the Cantrips column of the Sorcerer Features table.""]}, {""type"": ""entries"", ""name"": ""Spell Slots"", ""entries"": [""The Sorcerer Features table shows how many spell slots you have to cast your level 1+ spells. You regain all expended slots when you finish a {@variantrule Long Rest|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Prepared Spells of Level 1+"", ""entries"": [""You prepare the list of level 1+ spells that are available for you to cast with this feature. To start, choose two level 1 Sorcerer spells. {@spell Burning Hands|XPHB} and {@spell Detect Magic|XPHB} are recommended."", ""The number of spells on your list increases as you gain Sorcerer levels, as shown in the Prepared Spells column of the Sorcerer Features table. Whenever that number increases, choose additional Sorcerer spells until the number of spells on your list matches the number in the Sorcerer Features table. The chosen spells must be of a level for which you have spell slots. For example, if you're a level 3 Sorcerer, your list of prepared spells can include six Sorcerer spells of level 1 or 2 in any combination."", ""If another Sorcerer feature gives you spells that you always have prepared, those spells don't count against the number of spells you can prepare with this feature, but those spells otherwise count as Sorcerer spells for you.""]}, {""type"": ""entries"", ""name"": ""Changing Your Prepared Spells"", ""entries"": [""Whenever you gain a Sorcerer level, you can replace one spell on your list with another Sorcerer spell for which you have spell slots.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Charisma is your spellcasting ability for your Sorcerer spells.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use an {@item Arcane Focus|XPHB} as a {@variantrule Spellcasting Focus|XPHB} for your Sorcerer spells.""]}]}]"
Font of Magic,XPHB,Sorcerer,XPHB,2,"[""You can tap into the wellspring of magic within yourself. This wellspring is represented by Sorcery Points, which allow you to create a variety of magical effects."", ""You have 2 Sorcery Points, and you gain more as you reach higher levels, as shown in the Sorcery Points column of the Sorcerer Features table. You can't have more Sorcery Points than the number shown in the table for your level. You regain all expended Sorcery Points when you finish a {@variantrule Long Rest|XPHB}."", ""You can use your Sorcery Points to fuel the options below, along with other features, such as Metamagic, that use those points."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Converting Spell Slots to Sorcery Points"", ""entries"": [""You can expend a spell slot to gain a number of Sorcery Points equal to the slot's level (no action required).""]}, {""type"": ""entries"", ""name"": ""Creating Spell Slots"", ""entries"": [""As a {@variantrule Bonus Action|XPHB}, you can transform unexpended Sorcery Points into one spell slot. The Creating Spell Slots table shows the cost of creating a spell slot of a given level, and it lists the minimum Sorcerer level you must be to create a slot. You can create a spell slot no higher than level 5."", ""Any spell slot you create with this feature vanishes when you finish a {@variantrule Long Rest|XPHB}."", {""type"": ""table"", ""caption"": ""Creating Spell Slots"", ""colLabels"": [""Spell Slot Level"", ""Sorcery Point Cost"", ""Min. Sorcerer Level""], ""colStyles"": [""col-3 text-center"", ""col-3 text-center"", ""col-3 text-center""], ""rows"": [[""1"", ""2"", ""2""], [""2"", ""3"", ""3""], [""3"", ""5"", ""5""], [""4"", ""6"", ""7""], [""5"", ""7"", ""9""]]}]}]}]"
Metamagic,XPHB,Sorcerer,XPHB,2,"[""Because your magic flows from within, you can alter your spells to suit your needs; you gain two Metamagic options of your choice from \""{@filter Metamagic Options|optionalfeatures|feature type=MM|source=XPHB}\"" later in this class's description. You use the chosen options to temporarily modify spells you cast. To use an option, you must spend the number of Sorcery Points that it costs."", ""You can use only one Metamagic option on a spell when you cast it unless otherwise noted in one of those options."", ""Whenever you gain a Sorcerer level, you can replace one of your Metamagic options with one you don't know. You gain two more options at Sorcerer level 10 and two more at Sorcerer level 17.""]"
Metamagic Options,XPHB,Sorcerer,XPHB,2,"[""The following options are available to your Metamagic feature. The options are presented in alphabetical order."", {""type"": ""options"", ""count"": 2, ""entries"": [{""type"": ""refOptionalfeature"", ""optionalfeature"": ""Careful Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Distant Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Empowered Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Extended Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Heightened Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Quickened Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Seeking Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Subtle Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Transmuted Spell|XPHB"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Twinned Spell|XPHB"", ""preserve"": {""consumes"": true}}]}]"
Sorcerer Subclass,XPHB,Sorcerer,XPHB,3,"[""You gain a Sorcerer subclass of your choice. A subclass is a specialization that grants you features at certain Sorcerer levels. For the rest of your career, you gain each of your subclass's features that are of your Sorcerer level or lower.""]"
Ability Score Improvement,XPHB,Sorcerer,XPHB,4,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify. You gain this feature again at Sorcerer levels 8, 12, and 16.""]"
Sorcerous Restoration,XPHB,Sorcerer,XPHB,5,"[""When you finish a {@variantrule Short Rest|XPHB}, you can regain expended Sorcery Points, but no more than a number equal to half your Sorcerer level (round down). Once you use this feature, you can't do so again until you finish a {@variantrule Long Rest|XPHB}.""]"
Subclass Feature,XPHB,Sorcerer,XPHB,6,"[""You gain a feature from your Sorcerer subclass.""]"
Sorcery Incarnate,XPHB,Sorcerer,XPHB,7,"[""If you have no uses of Innate Sorcery left, you can use it if you spend 2 Sorcery Points when you take the {@variantrule Bonus Action|XPHB} to activate it."", ""In addition, while your Innate Sorcery feature is active, you can use up to two of your {@filter Metamagic options|optionalfeatures|feature type=MM} on each spell you cast.""]"
Ability Score Improvement,XPHB,Sorcerer,XPHB,8,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Metamagic,XPHB,Sorcerer,XPHB,10,"[""Because your magic flows from within you, you can alter your spells to suit your needs; you gain two Metamagic options of your choice from the \""{@filter Metamagic Options|optionalfeatures|feature type=MM|source=XPHB}\"" section later in this class's description."", ""You can use only one Metamagic option on a spell when you cast it, unless otherwise noted in one of those options."", ""Whenever you gain a Sorcerer level, you can replace one of your Metamagic options with one you don't know.""]"
Ability Score Improvement,XPHB,Sorcerer,XPHB,12,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Subclass Feature,XPHB,Sorcerer,XPHB,14,"[""You gain a feature from your Sorcerer subclass.""]"
Ability Score Improvement,XPHB,Sorcerer,XPHB,16,"[""You gain the {@feat Ability Score Improvement|XPHB} feat or another {@5etools feat|feats.html} of your choice for which you qualify.""]"
Metamagic,XPHB,Sorcerer,XPHB,17,"[""Because your magic flows from within you, you can alter your spells to suit your needs; you gain two Metamagic options of your choice from the \""{@filter Metamagic Options|optionalfeatures|feature type=MM|source=XPHB}\"" section later in this class's description."", ""You can use only one Metamagic option on a spell when you cast it, unless otherwise noted in one of those options."", ""Whenever you gain a Sorcerer level, you can replace one of your Metamagic options with one you don't know.""]"
Subclass Feature,XPHB,Sorcerer,XPHB,18,"[""You gain a feature from your Sorcerer subclass.""]"
Epic Boon,XPHB,Sorcerer,XPHB,19,"[""You gain an {@filter Epic Boon feat|feats|category=EB} or another {@5etools feat|feats.html} of your choice for which you qualify. {@feat Boon of Dimensional Travel|XPHB} is recommended.""]"
Arcane Apotheosis,XPHB,Sorcerer,XPHB,20,"[""While your Innate Sorcery feature is active, you can use one Metamagic option on each of your turns without spending Sorcery Points on it.""]"
Bardic Inspiration,XPHB,Bard,XPHB,1,"[""You can supernaturally inspire others through words, music, or dance. This inspiration is represented by your Bardic Inspiration die, which is a {@dice d6}."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Using Bardic Inspiration"", ""entries"": [""As a {@variantrule Bonus Action|XPHB}, you can inspire another creature within 60 feet of yourself who can see or hear you. That creature gains one of your Bardic Inspiration dice. A creature can have only one Bardic Inspiration die at a time."", ""Once within the next hour when the creature fails a {@variantrule D20 Test|XPHB}, the creature can roll the Bardic Inspiration die and add the number rolled to the {@dice d20}, potentially turning the failure into a success. A Bardic Inspiration die is expended when it's rolled.""]}, {""type"": ""entries"", ""name"": ""Number of Uses"", ""entries"": [""You can confer a Bardic Inspiration die a number of times equal to your Charisma modifier (minimum of once), and you regain all expended uses when you finish a {@variantrule Long Rest|XPHB}.""]}, {""type"": ""entries"", ""name"": ""At Higher Levels"", ""entries"": [""Your Bardic Inspiration die changes when you reach certain Bard levels, as shown in the Bardic Die column of the Bard Features table. The die becomes a {@dice d8} at level 5, a {@dice d10} at level 10, and a {@dice d12} at level 15.""]}]}]"
