ClassName,ClassSource,Level,ProficiencyBonus,SpellSlots,ClassSpecific
Sorcerer,XPHB,2,2,"[3, 0, 0, 0, 0, 0, 0, 0, 0]","{""Sorcery Points"": 2, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 4}"
Sorcerer,XPHB,3,2,"[4, 2, 0, 0, 0, 0, 0, 0, 0]","{""Sorcery Points"": 3, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 6}"
Sorcerer,XPHB,4,2,"[4, 3, 0, 0, 0, 0, 0, 0, 0]","{""Sorcery Points"": 4, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 7}"
Sorcerer,XPHB,5,3,"[4, 3, 2, 0, 0, 0, 0, 0, 0]","{""Sorcery Points"": 5, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 9}"
Sorcerer,XPHB,6,3,"[4, 3, 3, 0, 0, 0, 0, 0, 0]","{""Sorcery Points"": 6, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 10}"
Sorcerer,XPHB,7,3,"[4, 3, 3, 1, 0, 0, 0, 0, 0]","{""Sorcery Points"": 7, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 11}"
Sorcerer,XPHB,8,3,"[4, 3, 3, 2, 0, 0, 0, 0, 0]","{""Sorcery Points"": 8, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 12}"
Sorcerer,XPHB,9,4,"[4, 3, 3, 3, 1, 0, 0, 0, 0]","{""Sorcery Points"": 9, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 14}"
Sorcerer,XPHB,10,4,"[4, 3, 3, 3, 2, 0, 0, 0, 0]","{""Sorcery Points"": 10, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 15}"
Sorcerer,XPHB,11,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""Sorcery Points"": 11, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 16}"
Sorcerer,XPHB,12,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""Sorcery Points"": 12, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 16}"
Sorcerer,XPHB,13,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""Sorcery Points"": 13, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 17}"
Sorcerer,XPHB,14,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""Sorcery Points"": 14, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 17}"
Sorcerer,XPHB,15,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""Sorcery Points"": 15, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 18}"
Sorcerer,XPHB,16,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""Sorcery Points"": 16, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 18}"
Sorcerer,XPHB,17,6,"[4, 3, 3, 3, 2, 1, 1, 1, 1]","{""Sorcery Points"": 17, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 19}"
Sorcerer,XPHB,18,6,"[4, 3, 3, 3, 3, 1, 1, 1, 1]","{""Sorcery Points"": 18, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 20}"
Sorcerer,XPHB,19,6,"[4, 3, 3, 3, 3, 2, 1, 1, 1]","{""Sorcery Points"": 19, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 21}"
Sorcerer,XPHB,20,6,"[4, 3, 3, 3, 3, 2, 2, 1, 1]","{""Sorcery Points"": 20, ""{@filter Cantrips|spells|level=0|class=sorcerer}"": 6, ""{@filter Prepared Spells|spells|level=!0|class=sorcerer}"": 22}"
Bard,XPHB,1,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 2, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 4}"
Bard,XPHB,2,2,"[3, 0, 0, 0, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 2, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 5}"
Bard,XPHB,3,2,"[4, 2, 0, 0, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 2, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 6}"
Bard,XPHB,4,2,"[4, 3, 0, 0, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 7}"
Bard,XPHB,5,3,"[4, 3, 2, 0, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 8}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 9}"
Bard,XPHB,6,3,"[4, 3, 3, 0, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 8}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 10}"
Bard,XPHB,7,3,"[4, 3, 3, 1, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 8}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 11}"
Bard,XPHB,8,3,"[4, 3, 3, 2, 0, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 8}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 12}"
Bard,XPHB,9,4,"[4, 3, 3, 3, 1, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 8}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 14}"
Bard,XPHB,10,4,"[4, 3, 3, 3, 2, 0, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 10}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 15}"
Bard,XPHB,11,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 10}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 16}"
Bard,XPHB,12,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 10}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 16}"
Bard,XPHB,13,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 10}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 17}"
Bard,XPHB,14,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 10}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 17}"
Bard,XPHB,15,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 12}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 18}"
Bard,XPHB,16,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 12}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 18}"
Bard,XPHB,17,6,"[4, 3, 3, 3, 2, 1, 1, 1, 1]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 12}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 19}"
Bard,XPHB,18,6,"[4, 3, 3, 3, 3, 1, 1, 1, 1]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 12}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 20}"
Bard,XPHB,19,6,"[4, 3, 3, 3, 3, 2, 1, 1, 1]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 12}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 21}"
Bard,XPHB,20,6,"[4, 3, 3, 3, 3, 2, 2, 1, 1]","{""Bardic Die"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 12}], ""rollable"": true}, ""{@filter Cantrips|spells|level=0|class=bard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=bard}"": 22}"
Fighter,XPHB,1,2,[],"{""Second Wind"": ""2"", ""Weapon Mastery"": ""3""}"
Fighter,XPHB,2,2,[],"{""Second Wind"": ""2"", ""Weapon Mastery"": ""3""}"
Fighter,XPHB,3,2,[],"{""Second Wind"": ""2"", ""Weapon Mastery"": ""3""}"
Fighter,XPHB,4,2,[],"{""Second Wind"": ""3"", ""Weapon Mastery"": ""4""}"
Fighter,XPHB,5,3,[],"{""Second Wind"": ""3"", ""Weapon Mastery"": ""4""}"
Fighter,XPHB,6,3,[],"{""Second Wind"": ""3"", ""Weapon Mastery"": ""4""}"
Fighter,XPHB,7,3,[],"{""Second Wind"": ""3"", ""Weapon Mastery"": ""4""}"
Fighter,XPHB,8,3,[],"{""Second Wind"": ""3"", ""Weapon Mastery"": ""4""}"
Fighter,XPHB,9,4,[],"{""Second Wind"": ""3"", ""Weapon Mastery"": ""4""}"
Fighter,XPHB,10,4,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""5""}"
Fighter,XPHB,11,4,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""5""}"
Fighter,XPHB,12,4,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""5""}"
Fighter,XPHB,13,5,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""5""}"
Fighter,XPHB,14,5,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""5""}"
Fighter,XPHB,15,5,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""5""}"
Fighter,XPHB,16,5,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""6""}"
Fighter,XPHB,17,6,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""6""}"
Fighter,XPHB,18,6,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""6""}"
Fighter,XPHB,19,6,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""6""}"
Fighter,XPHB,20,6,[],"{""Second Wind"": ""4"", ""Weapon Mastery"": ""6""}"
Wizard,XPHB,1,2,"[2, 0, 0, 0, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 4}"
Wizard,XPHB,2,2,"[3, 0, 0, 0, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 5}"
Wizard,XPHB,3,2,"[4, 2, 0, 0, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 3, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 6}"
Wizard,XPHB,4,2,"[4, 3, 0, 0, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 7}"
Wizard,XPHB,5,3,"[4, 3, 2, 0, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 9}"
Wizard,XPHB,6,3,"[4, 3, 3, 0, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 10}"
Wizard,XPHB,7,3,"[4, 3, 3, 1, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 11}"
Wizard,XPHB,8,3,"[4, 3, 3, 2, 0, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 12}"
Wizard,XPHB,9,4,"[4, 3, 3, 3, 1, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 4, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 14}"
Wizard,XPHB,10,4,"[4, 3, 3, 3, 2, 0, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 15}"
Wizard,XPHB,11,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 16}"
Wizard,XPHB,12,4,"[4, 3, 3, 3, 2, 1, 0, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 16}"
Wizard,XPHB,13,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 17}"
Wizard,XPHB,14,5,"[4, 3, 3, 3, 2, 1, 1, 0, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 18}"
Wizard,XPHB,15,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 19}"
Wizard,XPHB,16,5,"[4, 3, 3, 3, 2, 1, 1, 1, 0]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 21}"
Wizard,XPHB,17,6,"[4, 3, 3, 3, 2, 1, 1, 1, 1]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 22}"
Wizard,XPHB,18,6,"[4, 3, 3, 3, 3, 1, 1, 1, 1]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 23}"
Wizard,XPHB,19,6,"[4, 3, 3, 3, 3, 2, 1, 1, 1]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 24}"
Wizard,XPHB,20,6,"[4, 3, 3, 3, 3, 2, 2, 1, 1]","{""{@filter Cantrips|spells|level=0|class=Wizard}"": 5, ""{@filter Prepared Spells|spells|level=!0|class=Wizard}"": 25}"
Monk,XPHB,1,2,[],"{""Martial Arts"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""Focus Points"": 0, ""Unarmored Movement"": {""type"": ""bonusSpeed"", ""value"": 0}}"
Monk,XPHB,2,2,[],"{""Martial Arts"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""Focus Points"": 2, ""Unarmored Movement"": {""type"": ""bonusSpeed"", ""value"": 10}}"
Monk,XPHB,3,2,[],"{""Martial Arts"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""Focus Points"": 3, ""Unarmored Movement"": {""type"": ""bonusSpeed"", ""value"": 10}}"
Monk,XPHB,4,2,[],"{""Martial Arts"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 6}], ""rollable"": true}, ""Focus Points"": 4, ""Unarmored Movement"": {""type"": ""bonusSpeed"", ""value"": 10}}"
Monk,XPHB,5,3,[],"{""Martial Arts"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 8}], ""rollable"": true}, ""Focus Points"": 5, ""Unarmored Movement"": {""type"": ""bonusSpeed"", ""value"": 10}}"
Monk,XPHB,6,3,[],"{""Martial Arts"": {""type"": ""dice"", ""toRoll"": [{""number"": 1, ""faces"": 8}], ""rollable"": true}, ""Focus Points"": 6, ""Unarmored Movement"": {""type"": ""bonusSpeed"", ""value"": 15}}"
