Name,Source,FeatureType,Prerequisite,Description
Otherworldly Leap,XPHB,"[""EI""]","[{""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell Jump|XPHB} on yourself without expending a spell slot.""]"
Pact of the Blade,XPHB,"[""EI""]",,"[""As a {@variantrule Bonus Action|XPHB}, you can conjure a pact weapon in your hand—a Simple or Martial Melee weapon of your choice with which you bond—or create a bond with a magic weapon you touch; you can't bond with a magic weapon if someone else is attuned to it or another Warlock is bonded with it. Until the bond ends, you have proficiency with the weapon, and you can use it as a {@variantrule Spellcasting Focus|XPHB}."", ""Whenever you attack with the bonded weapon, you can use your Charisma modifier for the attack and damage rolls instead of using Strength or Dexterity; and you can cause the weapon to deal Necrotic, Psychic, or Radiant damage or its normal damage type."", ""Your bond with the weapon ends if you use this feature's {@variantrule Bonus Action|XPHB} again, if the weapon is more than 5 feet away from you for 1 minute or more, or if you die. A conjured weapon disappears when the bond ends.""]"
Pact of the Chain,XPHB,"[""EI""]",,"[""You learn the {@spell Find Familiar|XPHB} spell and can cast it as a {@action Magic|XPHB} action without expending a spell slot."", ""When you cast the spell, you choose one of the normal forms for your familiar or one of the following special forms: {@creature Imp|XMM}, {@creature Pseudodragon|XMM}, {@creature Quasit|XMM}, {@creature Skeleton|XMM}, {@creature Slaad Tadpole|XMM}, {@creature Sphinx of Wonder|XMM}, {@creature Sprite|XMM}, or {@creature Venomous Snake|XMM} (see appendix B for the familiar's stat block)."", ""Additionally, when you take the {@action Attack|XPHB} action, you can forgo one of your own attacks to allow your familiar to make one attack of its own with its {@variantrule Reaction|XPHB}.""]"
Pact of the Tome,XPHB,"[""EI""]",,"[""Stitching together strands of shadow, you conjure forth a book in your hand at the end of a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}. This Book of Shadows (you determine its appearance) contains eldritch magic that only you can access, granting you the benefits below. The book disappears if you conjure another book with this feature or if you die."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Cantrips and Rituals"", ""entries"": [""When the book appears, choose three {@filter cantrips|spells|level=0}, and choose two {@filter level 1 spells|spells|level=1|components & miscellaneous=ritual} that have the {@variantrule Ritual|XPHB} tag. The spells can be from any class's spell list, and they must be spells you don't already have prepared. While the book is on your person, you have the chosen spells prepared, and they function as Warlock spells for you.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use the book as a {@variantrule Spellcasting Focus|XPHB}.""]}]}]"
Quickened Spell,XPHB,"[""MM""]",,"[""When you cast a spell that has a casting time of an action, you can spend 2 Sorcery Points to change the casting time to a {@variantrule Bonus Action|XPHB} for this casting. You can't modify a spell in this way if you've already cast a level 1+ spell on the current turn, nor can you cast a level 1+ spell on this turn after modifying a spell in this way.""]"
Repelling Blast,XPHB,"[""EI""]","[{""spell"": [{""choose"": ""level=0|class=Warlock"", ""entry"": ""a Warlock Cantrip That Deals Damage via an Attack Roll"", ""entrySummary"": ""Warlock Cantrip That Deals Damage via an Attack Roll""}], ""level"": {""level"": 2, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""Choose one of your known {@filter Warlock cantrips|spells|level=0|class=Warlock|spell attack=m;r;o} that requires an attack roll. When you hit a Large or smaller creature with that cantrip, you can push the creature up to 10 feet straight away from you."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Repeatable"", ""entries"": [""You can gain this invocation more than once. Each time you do so, choose a different eligible cantrip.""]}]}]"
Subtle Spell,XPHB,"[""MM""]",,"[""When you cast a spell, you can spend 1 Sorcery Point to cast it without any Verbal, Somatic, or Material components, except Material components that are consumed by the spell or that have a cost specified in the spell.""]"
Thirsting Blade,XPHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}, ""optionalfeature"": [""pact of the blade|xphb""]}]","[""You gain the Extra Attack feature for your pact weapon only. With that feature, you can attack twice with the weapon instead of once when you take the {@action Attack|XPHB} action on your turn.""]"
Twinned Spell,XPHB,"[""MM""]",,"[""When you cast a spell, such as {@spell Charm Person|XPHB}, that can be cast with a higher-level spell slot to target an additional creature, you can spend 1 Sorcery Point to increase the spell's effective level by 1.""]"
Visions of Distant Realms,XPHB,"[""EI""]","[{""level"": {""level"": 9, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell Arcane Eye|XPHB} without expending a spell slot.""]"
Whispers of the Grave,XPHB,"[""EI""]","[{""level"": {""level"": 7, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You can cast {@spell Speak with Dead|XPHB} without expending a spell slot.""]"
Witch Sight,XPHB,"[""EI""]","[{""level"": {""level"": 15, ""class"": {""name"": ""Warlock"", ""source"": ""XPHB"", ""visibleStats"": true}}}]","[""You have {@sense Truesight|XPHB} with a range of 30 feet.""]"
