Name,Source,ClassName,ClassSource,SubclassShortName,SubclassSource,Level,Description
Intimidating Presence,XPHB,Barbarian,XPHB,Berserker,XPHB,14,"[""As a {@variantrule Bonus Action|XPHB}, you can strike terror into others with your menacing presence and primal power. When you do so, each creature of your choice in a 30-foot {@variantrule Emanation [Area of Effect]|XPHB|Emanation} originating from you must make a Wisdom saving throw ({@dc 8} plus your Strength modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}). On a failed save, a creature has the {@condition Frightened|XPHB} condition for 1 minute. At the end of each of the {@condition Frightened|XPHB} creature's turns, the creature repeats the save, ending the effect on itself on a success."", ""Once you use this feature, you can't use it again until you finish a {@variantrule Long Rest|XPHB} unless you expend a use of your Rage (no action required) to restore your use of it.""]"
Draconic Sorcery,XPHB,Sorcerer,XPHB,Draconic,XPHB,3,"[""{@i Breathe the Magic of Dragons}"", ""Your innate magic comes from the gift of a dragon. Perhaps an ancient dragon facing death bequeathed some of its magical power to you or your ancestor. You might have absorbed magic from a site infused with dragons' power. Or perhaps you handled a treasure taken from a dragon's hoard that was steeped in draconic power. Or you might have a dragon for an ancestor."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Draconic Resilience|Sorcerer|XPHB|Draconic|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Draconic Spells|Sorcerer|XPHB|Draconic|XPHB|3""}]"
Draconic Spells,XPHB,Sorcerer,XPHB,Draconic,XPHB,3,"[""When you reach a Sorcerer level specified in the Draconic Spells table, you thereafter always have the listed spells prepared."", {""type"": ""table"", ""caption"": ""Draconic Spells"", ""colLabels"": [""Sorcerer Level"", ""Spells""], ""colStyles"": [""col-2 text-center"", ""col-10""], ""rows"": [[""3rd"", ""{@spell Alter Self|XPHB}, {@spell Chromatic Orb|XPHB}, {@spell Command|XPHB}, {@spell Dragon's Breath|XPHB}""], [""5th"", ""{@spell Fear|XPHB}, {@spell Fly|XPHB}""], [""7th"", ""{@spell Arcane Eye|XPHB}, {@spell Charm Monster|XPHB}""], [""9th"", ""{@spell Legend Lore|XPHB}, {@spell Summon Dragon|XPHB}""]]}]"
Draconic Resilience,XPHB,Sorcerer,XPHB,Draconic,XPHB,3,"[""The magic in your body manifests physical traits of your draconic gift. Your {@variantrule Hit Points|XPHB|Hit Point} maximum increases by 3, and it increases by 1 whenever you gain another Sorcerer level."", ""Parts of you are also covered by dragon-like scales. While you aren't wearing armor, your base {@variantrule Armor Class|XPHB} equals 10 plus your Dexterity and Charisma modifiers.""]"
Elemental Affinity,XPHB,Sorcerer,XPHB,Draconic,XPHB,6,"[""Your draconic magic has an affinity with a damage type associated with dragons. Choose one of those types: Acid, Cold, Fire, Lightning, or Poison."", ""You have {@variantrule Resistance|XPHB} to that damage type, and when you cast a spell that deals damage of that type, you can add your Charisma modifier to one damage roll of that spell.""]"
Dragon Wings,XPHB,Sorcerer,XPHB,Draconic,XPHB,14,"[""As a {@variantrule Bonus Action|XPHB}, you can cause draconic wings to appear on your back. The wings last for 1 hour or until you dismiss them (no action required). For the duration, you have a {@variantrule Fly Speed|XPHB} of 60 feet."", ""Once you use this feature, you can't use it again until you finish a {@variantrule Long Rest|XPHB} unless you spend 3 Sorcery Points (no action required) to restore your use of it.""]"
Dragon Companion,XPHB,Sorcerer,XPHB,Draconic,XPHB,18,"[""You can cast {@spell Summon Dragon|XPHB} without a Material component. You can also cast it once without a spell slot, and you regain the ability to cast it in this way when you finish a {@variantrule Long Rest|XPHB}."", ""Whenever you start casting the spell, you can modify it so that it doesn't require {@status Concentration|XPHB}. If you do so, the spell's duration becomes 1 minute for that casting.""]"
College of Lore,XPHB,Bard,XPHB,Lore,XPHB,3,"[""{@i Plumb the Depths of Magical Knowledge}"", ""Bards of the College of Lore collect spells and secrets from diverse sources, such as scholarly tomes, mystical rites, and peasant tales. The college's members gather in libraries and universities to share their lore with one another. They also meet at festivals or affairs of state, where they can expose corruption, unravel lies, and poke fun at self-important figures of authority."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Bonus Proficiencies|Bard|XPHB|Lore|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Cutting Words|Bard|XPHB|Lore|XPHB|3""}]"
Bonus Proficiencies,XPHB,Bard,XPHB,Lore,XPHB,3,"[""You gain proficiency with three skills of your choice.""]"
Cutting Words,XPHB,Bard,XPHB,Lore,XPHB,3,"[""You learn to use your wit to supernaturally distract, confuse, and otherwise sap the confidence and competence of others. When a creature that you can see within 60 feet of yourself makes a damage roll or succeeds on an ability check or attack roll, you can take a {@variantrule Reaction|XPHB} to expend one use of your Bardic Inspiration; roll your Bardic Inspiration die, and subtract the number rolled from the creature's roll, reducing the damage or potentially turning the success into a failure.""]"
Magical Discoveries,XPHB,Bard,XPHB,Lore,XPHB,6,"[""You learn two spells of your choice. These spells can come from the {@filter Cleric|spells|class=Cleric}, {@filter Druid|spells|class=Druid}, or {@filter Wizard spell list|spells|class=Wizard} or any combination thereof (see a class's section for its spell list). A spell you choose must be a cantrip or a spell for which you have spell slots, as shown in the Bard Features table."", ""You always have the chosen spells prepared, and whenever you gain a Bard level, you can replace one of the spells with another spell that meets these requirements.""]"
Peerless Skill,XPHB,Bard,XPHB,Lore,XPHB,14,"[""When you make an ability check or attack roll and fail, you can expend one use of Bardic Inspiration; roll the Bardic Inspiration die, and add the number rolled to the {@dice d20}, potentially turning a failure into a success. On a failure, the Bardic Inspiration isn't expended.""]"
Champion,XPHB,Fighter,XPHB,Champion,XPHB,3,"[""{@i Pursue Physical Excellence in Combat}"", ""A Champion focuses on the development of martial prowess in a relentless pursuit of victory. Champions combine rigorous training with physical excellence to deal devastating blows, withstand peril, and garner glory. Whether in athletic contests or bloody battle, Champions strive for the crown of the victor."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Improved Critical|Fighter|XPHB|Champion|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Remarkable Athlete|Fighter|XPHB|Champion|XPHB|3""}]"
Improved Critical,XPHB,Fighter,XPHB,Champion,XPHB,3,"[""Your attack rolls with weapons and Unarmed Strikes can score a {@variantrule Critical Hit|XPHB} on a roll of 19 or 20 on the {@dice d20}.""]"
Remarkable Athlete,XPHB,Fighter,XPHB,Champion,XPHB,3,"[""Thanks to your athleticism, you have {@variantrule Advantage|XPHB} on {@variantrule Initiative|XPHB} rolls and Strength ({@skill Athletics|XPHB}) checks."", ""In addition, immediately after you score a {@variantrule Critical Hit|XPHB}, you can move up to half your {@variantrule Speed|XPHB} without provoking {@action Opportunity Attack|XPHB|Opportunity Attacks}.""]"
Additional Fighting Style,XPHB,Fighter,XPHB,Champion,XPHB,7,"[""You gain another {@filter Fighting Style feat|feats|category=FS} of your choice.""]"
Heroic Warrior,XPHB,Fighter,XPHB,Champion,XPHB,10,"[""The thrill of battle drives you toward victory. During combat, you can give yourself {@variantrule Heroic Inspiration|XPHB} whenever you start your turn without it.""]"
Superior Critical,XPHB,Fighter,XPHB,Champion,XPHB,15,"[""Your attack rolls with weapons and Unarmed Strikes can now score a {@variantrule Critical Hit|XPHB} on a roll of 18–20 on the {@dice d20}.""]"
Survivor,XPHB,Fighter,XPHB,Champion,XPHB,18,"[""You attain the pinnacle of resilience in battle, giving you these benefits."", {""type"": ""entries"", ""name"": ""Defy Death"", ""entries"": [""You have {@variantrule Advantage|XPHB} on {@variantrule Death Saving Throw|XPHB|Death Saving Throws}. Moreover, when you roll 18–20 on a {@variantrule Death Saving Throw|XPHB}, you gain the benefit of rolling a 20 on it.""]}, {""type"": ""entries"", ""name"": ""Heroic Rally"", ""entries"": [""At the start of each of your turns, you regain {@variantrule Hit Points|XPHB} equal to 5 plus your Constitution modifier if you are {@status Bloodied|XPHB} and have at least 1 {@variantrule Hit Points|XPHB|Hit Point}.""]}]"
Evoker,XPHB,Wizard,XPHB,Evoker,XPHB,3,"[""{@i Create Explosive Elemental Effects}"", ""Your studies focus on magic that creates powerful elemental effects such as bitter cold, searing flame, rolling thunder, crackling lightning, and burning acid. Some Evokers find employment in military forces, serving as artillery to blast armies from afar. Others use their power to protect others, while some seek their own gain."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Evocation Savant|Wizard|XPHB|Evoker|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Potent Cantrip|Wizard|XPHB|Evoker|XPHB|3""}]"
Evocation Savant,XPHB,Wizard,XPHB,Evoker,XPHB,3,"[""Choose two {@filter Wizard spells from the Evocation school|spells|level=0;1;2|class=Wizard|school=V}, each of which must be no higher than level 2, and add them to your spellbook for free."", ""In addition, whenever you gain access to a new level of spell slots in this class, you can add one Wizard spell from the Evocation school to your spellbook for free. The chosen spell must be of a level for which you have spell slots.""]"
Potent Cantrip,XPHB,Wizard,XPHB,Evoker,XPHB,3,"[""Your damaging cantrips affect even creatures that avoid the brunt of the effect. When you cast a cantrip at a creature and you miss with the attack roll or the target succeeds on a saving throw against the cantrip, the target takes half the cantrip's damage (if any) but suffers no additional effect from the cantrip.""]"
Sculpt Spells,XPHB,Wizard,XPHB,Evoker,XPHB,6,"[""You can create pockets of relative safety within the effects of your evocations. When you cast an Evocation spell that affects other creatures that you can see, you can choose a number of them equal to 1 plus the spell's level. The chosen creatures automatically succeed on their saving throws against the spell, and they take no damage if they would normally take half damage on a successful save.""]"
Empowered Evocation,XPHB,Wizard,XPHB,Evoker,XPHB,10,"[""Whenever you cast a Wizard spell from the Evocation school, you can add your Intelligence modifier to one damage roll of that spell.""]"
Overchannel,XPHB,Wizard,XPHB,Evoker,XPHB,14,"[""You can increase the power of your spells. When you cast a Wizard spell with a spell slot of levels 1–5 that deals damage, you can deal maximum damage with that spell on the turn you cast it."", ""The first time you do so, you suffer no adverse effect. If you use this feature again before you finish a {@variantrule Long Rest|XPHB}, you take {@damage 2d12} Necrotic damage for each level of the spell slot immediately after you cast it. This damage ignores {@variantrule Resistance|XPHB} and {@variantrule Immunity|XPHB}."", ""Each time you use this feature again before finishing a {@variantrule Long Rest|XPHB}, the Necrotic damage per spell level increases by {@damage 1d12}.""]"
Open Hand Technique,XPHB,Monk,XPHB,Open Hand,XPHB,3,"[""Whenever you hit a creature with an attack granted by your Flurry of Blows, you can impose one of the following effects on that target."", {""type"": ""entries"", ""name"": ""Addle"", ""entries"": [""The target can't make {@action Opportunity Attack|XPHB|Opportunity Attacks} until the start of its next turn.""]}, {""type"": ""entries"", ""name"": ""Push"", ""entries"": [""The target must succeed on a Strength saving throw or be pushed up to 15 feet away from you.""]}, {""type"": ""entries"", ""name"": ""Topple"", ""entries"": [""The target must succeed on a Dexterity saving throw or have the {@condition Prone|XPHB} condition.""]}]"
Warrior of the Open Hand,XPHB,Monk,XPHB,Open Hand,XPHB,3,"[""{@i Master Unarmed Combat Techniques}"", ""Warriors of the Open Hand are masters of unarmed combat. They learn techniques to push and trip their opponents and manipulate their own energy to protect themselves from harm."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Open Hand Technique|Monk|XPHB|Open Hand|XPHB|3""}]"
Wholeness of Body,XPHB,Monk,XPHB,Open Hand,XPHB,6,"[""You gain the ability to heal yourself. As a {@variantrule Bonus Action|XPHB}, you can roll your Martial Arts die. You regain a number of {@variantrule Hit Points|XPHB} equal to the number rolled plus your Wisdom modifier (minimum of 1 {@variantrule Hit Points|XPHB|Hit Point} regained)."", ""You can use this feature a number of times equal to your Wisdom modifier (minimum of once), and you regain all expended uses when you finish a {@variantrule Long Rest|XPHB}.""]"
Fleet Step,XPHB,Monk,XPHB,Open Hand,XPHB,11,"[""When you take a {@variantrule Bonus Action|XPHB} other than Step of the Wind, you can also use Step of the Wind immediately after that {@variantrule Bonus Action|XPHB}.""]"
Quivering Palm,XPHB,Monk,XPHB,Open Hand,XPHB,17,"[""You gain the ability to set up lethal vibrations in someone's body. When you hit a creature with an {@variantrule Unarmed Strike|XPHB}, you can expend 4 Focus Points to start these imperceptible vibrations, which last for a number of days equal to your Monk level. The vibrations are harmless unless you take an action to end them. Alternatively, when you take the {@action Attack|XPHB} action on your turn, you can forgo one of the attacks to end the vibrations. To end them, you and the target must be on the same plane of existence. When you end them, the target must make a Constitution saving throw, taking {@damage 10d12} Force damage on a failed save or half as much damage on a successful one."", ""You can have only one creature under the effect of this feature at a time. You can end the vibrations harmlessly (no action required).""]"
Fast Hands,XPHB,Rogue,XPHB,Thief,XPHB,3,"[""As a {@variantrule Bonus Action|XPHB}, you can do one of the following."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Sleight of Hand"", ""entries"": [""Make a Dexterity ({@skill Sleight of Hand|XPHB}) check to pick a lock or disarm a trap with {@item Thieves' Tools|XPHB} or to pick a pocket.""]}, {""type"": ""entries"", ""name"": ""Use an Object"", ""entries"": [""Take the {@action Utilize|XPHB} action, or take the {@action Magic|XPHB} action to use a magic item that requires that action.""]}]}]"
Second-Story Work,XPHB,Rogue,XPHB,Thief,XPHB,3,"[""You've trained to get into especially hard-to-reach places, granting you these benefits."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Climber"", ""entries"": [""You gain a {@variantrule Climb Speed|XPHB} equal to your {@variantrule Speed|XPHB}.""]}, {""type"": ""entries"", ""name"": ""Jumper"", ""entries"": [""You can determine your jump distance using your Dexterity rather than your Strength.""]}]}]"
Thief,XPHB,Rogue,XPHB,Thief,XPHB,3,"[""{@i Hunt for Treasure as a Classic Adventurer}"", ""A mix of burglar, treasure hunter, and explorer, you are the epitome of an adventurer. In addition to improving your agility and stealth, you gain abilities useful for delving into ruins and getting maximum benefit from the magic items you find there."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Fast Hands|Rogue|XPHB|Thief|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Second-Story Work|Rogue|XPHB|Thief|XPHB|3""}]"
Supreme Sneak,XPHB,Rogue,XPHB,Thief,XPHB,9,"[""You gain the following Cunning Strike option."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Stealth Attack (Cost: 1d6)"", ""entries"": [""If you have the {@action Hide|XPHB} action's {@condition Invisible|XPHB} condition, this attack doesn't end that condition on you if you end the turn behind {@variantrule Cover|XPHB|Three-Quarters Cover} or {@variantrule Cover|XPHB|Total Cover}.""]}]}]"
Use Magic Device,XPHB,Rogue,XPHB,Thief,XPHB,13,"[""You've learned how to maximize use of magic items, granting you the following benefits."", {""type"": ""entries"", ""name"": ""Attunement"", ""entries"": [""You can attune to up to four magic items at once.""]}, {""type"": ""entries"", ""name"": ""Charges"", ""entries"": [""Whenever you use a magic item property that expends charges, roll {@dice 1d6}. On a roll of 6, you use the property without expending the charges.""]}, {""type"": ""entries"", ""name"": ""Scrolls"", ""entries"": [""You can use any {@item Spell Scroll|XDMG}, using Intelligence as your spellcasting ability for the spell. If the spell is a cantrip or a level 1 spell, you can cast it reliably. If the scroll contains a higher-level spell, you must first succeed on an Intelligence ({@skill Arcana|XPHB}) check ({@dc 10} plus the spell's level). On a successful check, you cast the spell from the scroll. On a failed check, the scroll disintegrates.""]}]"
Thief's Reflexes,XPHB,Rogue,XPHB,Thief,XPHB,17,"[""You are adept at laying ambushes and quickly escaping danger. You can take two turns during the first round of any combat. You take your first turn at your normal {@variantrule Initiative|XPHB} and your second turn at your {@variantrule Initiative|XPHB} minus 10.""]"
Hunter,XPHB,Ranger,XPHB,Hunter,XPHB,3,"[""{@i Protect Nature and People from Destruction}"", ""You stalk prey in the wilds and elsewhere, using your abilities as a Hunter to protect nature and people everywhere from forces that would destroy them."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Hunter's Prey|Ranger|XPHB|Hunter|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Hunter's Lore|Ranger|XPHB|Hunter|XPHB|3""}]"
Hunter's Lore,XPHB,Ranger,XPHB,Hunter,XPHB,3,"[""You can call on the forces of nature to reveal certain strengths and weaknesses of your prey. While a creature is marked by your Hunter's Mark, you know whether that creature has any Immunities, Resistances, or Vulnerabilities, and if the creature has any, you know what they are.""]"
Hunter's Prey,XPHB,Ranger,XPHB,Hunter,XPHB,3,"[""You gain one of the following feature options of your choice. Whenever you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}, you can replace the chosen option with the other one."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Colossus Slayer"", ""entries"": [""Your tenacity can wear down even the most resilient foes. When you hit a creature with a weapon, the weapon deals an extra {@damage 1d8} damage to the target if it's missing any of its {@variantrule Hit Points|XPHB}. You can deal this extra damage only once per turn.""]}, {""type"": ""entries"", ""name"": ""Horde Breaker"", ""entries"": [""Once on each of your turns when you make an attack with a weapon, you can make another attack with the same weapon against a different creature that is within 5 feet of the original target, that is within the weapon's range, and that you haven't attacked this turn.""]}]}]"
Defensive Tactics,XPHB,Ranger,XPHB,Hunter,XPHB,7,"[""You gain one of the following feature options of your choice. Whenever you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}, you can replace the chosen option with the other one."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Escape the Horde"", ""entries"": [""{@action Opportunity Attack|XPHB|Opportunity Attacks} have {@variantrule Disadvantage|XPHB} against you.""]}, {""type"": ""entries"", ""name"": ""Multiattack Defense"", ""entries"": [""When a creature hits you with an attack roll, that creature has {@variantrule Disadvantage|XPHB} on all other attack rolls against you this turn.""]}]}]"
Superior Hunter's Prey,XPHB,Ranger,XPHB,Hunter,XPHB,11,"[""Once per turn when you deal damage to a creature marked by your Hunter's Mark, you can also deal that spell's extra damage to a different creature that you can see within 30 feet of the first creature.""]"
Superior Hunter's Defense,XPHB,Ranger,XPHB,Hunter,XPHB,15,"[""When you take damage, you can take a {@variantrule Reaction|XPHB} to give yourself {@variantrule Resistance|XPHB} to that damage and any other damage of the same type until the end of the current turn.""]"
Fiend Patron,XPHB,Warlock,XPHB,Fiend,XPHB,3,"[""{@i Make a Deal with the Lower Planes}"", ""Your pact draws on the Lower Planes, the realms of perdition. You might forge a bargain with a demon lord such as Demogorgon or Orcus; an archdevil such as Asmodeus; or a pit fiend, balor, yugoloth, or night hag that is especially mighty. That patron's aims are evil—the corruption or destruction of all things, ultimately including you—and your path is defined by the extent to which you strive against those aims."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Fiend Spells|Warlock|XPHB|Fiend|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Dark One's Blessing|Warlock|XPHB|Fiend|XPHB|3""}]"
Dark One's Blessing,XPHB,Warlock,XPHB,Fiend,XPHB,3,"[""When you reduce an enemy to 0 {@variantrule Hit Points|XPHB}, you gain {@variantrule Temporary Hit Points|XPHB} equal to your Charisma modifier plus your Warlock level (minimum of 1 {@variantrule Temporary Hit Points|XPHB|Temporary Hit Point}). You also gain this benefit if someone else reduces an enemy within 10 feet of you to 0 {@variantrule Hit Points|XPHB}.""]"
Fiend Spells,XPHB,Warlock,XPHB,Fiend,XPHB,3,"[""The magic of your patron ensures you always have certain spells ready; when you reach a Warlock level specified in the Fiend Spells table, you thereafter always have the listed spells prepared."", {""type"": ""table"", ""caption"": ""Fiend Spells"", ""colLabels"": [""Warlock Level"", ""Spells""], ""colStyles"": [""col-2 text-center"", ""col-10""], ""rows"": [[""3"", ""{@spell Burning Hands|XPHB}, {@spell Command|XPHB}, {@spell Scorching Ray|XPHB}, {@spell Suggestion|XPHB}""], [""5"", ""{@spell Fireball|XPHB}, {@spell Stinking Cloud|XPHB}""], [""7"", ""{@spell Fire Shield|XPHB}, {@spell Wall of Fire|XPHB}""], [""9"", ""{@spell Geas|XPHB}, {@spell Insect Plague|XPHB}""]]}]"
Dark One's Own Luck,XPHB,Warlock,XPHB,Fiend,XPHB,6,"[""You can call on your fiendish patron to alter fate in your favor. When you make an ability check or a saving throw, you can use this feature to add {@dice 1d10} to your roll. You can do so after seeing the roll but before any of the roll's effects occur."", ""You can use this feature a number of times equal to your Charisma modifier (minimum of once), but you can use it no more than once per roll. You regain all expended uses when you finish a {@variantrule Long Rest|XPHB}.""]"
Fiendish Resilience,XPHB,Warlock,XPHB,Fiend,XPHB,10,"[""Choose one damage type, other than Force, whenever you finish a {@variantrule Short Rest|XPHB|Short} or {@variantrule Long Rest|XPHB}. You have {@variantrule Resistance|XPHB} to that damage type until you choose a different one with this feature.""]"
Hurl Through Hell,XPHB,Warlock,XPHB,Fiend,XPHB,14,"[""Once per turn when you hit a creature with an attack roll, you can try to instantly transport the target through the Lower Planes. The target must succeed on a Charisma saving throw against your spell save DC, or the target disappears and hurtles through a nightmare landscape. The target takes {@damage 8d10} Psychic damage if it isn't a Fiend, and it has the {@condition Incapacitated|XPHB} condition until the end of your next turn, when it returns to the space it previously occupied or the nearest unoccupied space."", ""Once you use this feature, you can't use it again until you finish a {@variantrule Long Rest|XPHB} unless you expend a Pact Magic spell slot (no action required) to restore your use of it.""]"
Oath of Devotion,XPHB,Paladin,XPHB,Devotion,XPHB,3,"[""{@i Uphold the Ideals of Justice and Order}"", ""The Oath of Devotion binds Paladins to the ideals of justice and order. These Paladins meet the archetype of the knight in shining armor. They hold themselves to the highest standards of conduct, and some—for better or worse—hold the rest of the world to the same standards."", ""Many who swear this oath are devoted to gods of law and good and use their gods' tenets as the measure of personal devotion. Others hold angels as their ideals and incorporate images of angelic wings into their helmets or coats of arms."", ""These paladins share the following tenets:"", {""type"": ""list"", ""items"": [""Let your word be your promise."", ""Protect the weak and never fear to act."", ""Let your honorable deeds be an example.""]}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Oath of Devotion Spells|Paladin|XPHB|Devotion|XPHB|3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Sacred Weapon|Paladin|XPHB|Devotion|XPHB|3""}]"
Oath of Devotion Spells,XPHB,Paladin,XPHB,Devotion,XPHB,3,"[""The magic of your oath ensures you always have certain spells ready; when you reach a Paladin level specified in the Oath of Devotion Spells table, you thereafter always have the listed spells prepared."", {""type"": ""table"", ""caption"": ""Oath of Devotion Spells"", ""colLabels"": [""Paladin Level"", ""Spells""], ""colStyles"": [""col-2 text-center"", ""col-10""], ""rows"": [[""3rd"", ""{@spell Protection from Evil And Good|XPHB}, {@spell Shield of Faith|XPHB}""], [""5th"", ""{@spell Aid|XPHB}, {@spell Zone of Truth|XPHB}""], [""9th"", ""{@spell Beacon of Hope|XPHB}, {@spell Dispel Magic|XPHB}""], [""13th"", ""{@spell Freedom of Movement|XPHB}, {@spell Guardian of Faith|XPHB}""], [""17th"", ""{@spell Commune|XPHB}, {@spell Flame Strike|XPHB}""]]}]"
Sacred Weapon,XPHB,Paladin,XPHB,Devotion,XPHB,3,"[""When you take the {@action Attack|XPHB} action, you can expend one use of your Channel Divinity to imbue one Melee weapon that you are holding with positive energy. For 10 minutes or until you use this feature again, you add your Charisma modifier to attack rolls you make with that weapon (minimum bonus of +1), and each time you hit with it, you cause it to deal its normal damage type or Radiant damage."", ""The weapon also emits {@variantrule Bright Light|XPHB} in a 20-foot radius and {@variantrule Dim Light|XPHB} 20 feet beyond that."", ""You can end this effect early (no action required). This effect also ends if you aren't carrying the weapon.""]"
Aura of Devotion,XPHB,Paladin,XPHB,Devotion,XPHB,7,"[""You and your allies have {@variantrule Immunity|XPHB} to the {@condition Charmed|XPHB} condition while in your Aura of Protection. If a {@condition Charmed|XPHB} ally enters the aura, that condition has no effect on that ally while there.""]"
