Name,Source,Type,IsBaseItem,Rarity,Weight,Value,RequiresAttunement,Description,Property,Damage,DamageType,ArmorClass
Calligrapher's Supplies,XPHB,AT|XPHB,True,none,5,1000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Write text with impressive flourishes that guard against forgery ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Ink|XPHB}, {@item Spell Scroll|XDMG}""]}]}]",,,,
Carpenter's Tools,XPHB,AT|XPHB,True,none,6,800,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Strength""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Seal or pry open a door or container ({@dc 20})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Club|XPHB}, {@item Greatclub|XPHB}, {@item Quarterstaff|XPHB}, {@item Barrel|XPHB}, {@item Chest|XPHB}, {@item Ladder|XPHB}, {@item Pole|XPHB}, {@item Portable Ram|XPHB}, {@item Torch|XPHB}""]}]}]",,,,
Cartographer's Tools,XPHB,AT|XPHB,True,none,6,1500,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Wisdom""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Draft a map of a small area ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Map|XPHB}""]}]}]",,,,
Chain Mail,XPHB,HA|XPHB,True,none,55,7500,,,,,,16
Chain Shirt,XPHB,MA|XPHB,True,none,20,5000,,,,,,13
Club,XPHB,M|XPHB,True,none,2,10,,,"[""L|XPHB""]",1d4,B,
Cobbler's Tools,XPHB,AT|XPHB,True,none,5,500,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Modify footwear to give {@variantrule Advantage|XPHB} on the wearer's next Dexterity ({@skill Acrobatics|XPHB}) check ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Climber's Kit|XPHB}""]}]}]",,,,
Cook's Utensils,XPHB,AT|XPHB,True,none,8,100,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Wisdom""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Improve food's flavor ({@dc 10}), or detect spoiled or poisoned food ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Rations|XPHB}""]}]}]",,,,
Crystal,XPHB,SCF|XPHB,True,none,1,1000,,,,,,
Dagger,XPHB,M|XPHB,True,none,1,200,,,"[""F|XPHB"", ""L|XPHB"", ""T|XPHB""]",1d4,P,
Dart,XPHB,R|XPHB,True,none,0.25,5,,,"[""F|XPHB"", ""T|XPHB""]",1d4,P,
Drum,XPHB,INS|XPHB,True,none,3,600,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Dulcimer,XPHB,INS|XPHB,True,none,10,2500,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Flail,XPHB,M|XPHB,True,none,2,1000,,,,1d8,B,
Flute,XPHB,INS|XPHB,True,none,1,200,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Glaive,XPHB,M|XPHB,True,none,6,2000,,,"[""H|XPHB"", ""R|XPHB"", ""2H|XPHB""]",1d10,S,
Glassblower's Tools,XPHB,AT|XPHB,True,none,5,3000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Discern what a glass object held in the past 24 hours ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Glass Bottle|XPHB}, {@item Magnifying Glass|XPHB}, {@item Spyglass|XPHB}, {@item Vial|XPHB}""]}]}]",,,,
Greataxe,XPHB,M|XPHB,True,none,7,3000,,,"[""H|XPHB"", ""2H|XPHB""]",1d12,S,
Greatclub,XPHB,M|XPHB,True,none,10,20,,,"[""2H|XPHB""]",1d8,B,
Greatsword,XPHB,M|XPHB,True,none,6,5000,,,"[""H|XPHB"", ""2H|XPHB""]",2d6,S,
Halberd,XPHB,M|XPHB,True,none,6,2000,,,"[""H|XPHB"", ""R|XPHB"", ""2H|XPHB""]",1d10,S,
Half Plate Armor,XPHB,MA|XPHB,True,none,40,75000,,,,,,15
Hand Crossbow,XPHB,R|XPHB,True,none,3,7500,,,"[""A|XPHB"", ""L|XPHB"", ""LD|XPHB""]",1d6,P,
Handaxe,XPHB,M|XPHB,True,none,2,500,,,"[""L|XPHB"", ""T|XPHB""]",1d6,S,
Heavy Crossbow,XPHB,R|XPHB,True,none,18,5000,,,"[""A|XPHB"", ""H|XPHB"", ""LD|XPHB"", ""2H|XPHB""]",1d10,P,
Hide Armor,XPHB,MA|XPHB,True,none,12,1000,,,,,,12
Horn,XPHB,INS|XPHB,True,none,2,300,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Javelin,XPHB,M|XPHB,True,none,2,50,,,"[""T|XPHB""]",1d6,P,
Jeweler's Tools,XPHB,AT|XPHB,True,none,2,2500,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Discern a gem's value ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Arcane Focus|XPHB}, {@item Holy Symbol|XPHB}""]}]}]",,,,
Lance,XPHB,M|XPHB,True,none,6,1000,,"[""A Lance requires two hands to wield when you aren't mounted.""]","[""H|XPHB"", ""R|XPHB"", {""uid"": ""2H|XPHB"", ""note"": ""unless mounted""}]",1d10,P,
Leather Armor,XPHB,LA|XPHB,True,none,10,1000,,,,,,11
Leatherworker's Tools,XPHB,AT|XPHB,True,none,5,500,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Add a design to a leather item ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Sling|XPHB}, {@item Whip|XPHB}, {@item Hide Armor|XPHB}, {@item Leather Armor|XPHB}, {@item Studded Leather Armor|XPHB}, {@item Backpack|XPHB}, {@item Crossbow Bolt Case|XPHB}, {@item Map or Scroll Case|XPHB}, {@item Parchment|XPHB}, {@item Pouch|XPHB}, {@item Quiver|XPHB}, {@item Waterskin|XPHB}""]}]}]",,,,
Light Crossbow,XPHB,R|XPHB,True,none,5,2500,,,"[""A|XPHB"", ""LD|XPHB"", ""2H|XPHB""]",1d8,P,
Light Hammer,XPHB,M|XPHB,True,none,2,200,,,"[""L|XPHB"", ""T|XPHB""]",1d4,B,
Longbow,XPHB,R|XPHB,True,none,2,5000,,,"[""A|XPHB"", ""H|XPHB"", ""2H|XPHB""]",1d8,P,
Longsword,XPHB,M|XPHB,True,none,3,1500,,,"[""V|XPHB""]",1d8,S,
Lute,XPHB,INS|XPHB,True,none,2,3500,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Lyre,XPHB,INS|XPHB,True,none,2,3000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Mace,XPHB,M|XPHB,True,none,4,500,,,,1d6,B,
Mason's Tools,XPHB,AT|XPHB,True,none,8,1000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Strength""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Chisel a symbol or hole in stone ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Block and Tackle|XPHB}""]}]}]",,,,
Maul,XPHB,M|XPHB,True,none,10,1000,,,"[""H|XPHB"", ""2H|XPHB""]",2d6,B,
Morningstar,XPHB,M|XPHB,True,none,4,1500,,,,1d8,P,
Musket,XPHB,R|XPHB,True,none,10,50000,,,"[""A|XPHB"", ""LD|XPHB"", ""2H|XPHB""]",1d12,P,
Needle,XPHB,A|XPHB,True,none,0.02,2,,"[""Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Needles are typically stored in a {@item Pouch|XPHB} (bought separately).""]",,,,
Needles (50),XPHB,A|XPHB,True,none,1,100,,"[""Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Needles are typically stored in a {@item Pouch|XPHB} (bought separately).""]",,,,
Orb,XPHB,SCF|XPHB,True,none,3,2000,,,,,,
Padded Armor,XPHB,LA|XPHB,True,none,8,500,,,,,,11
Painter's Supplies,XPHB,AT|XPHB,True,none,5,1000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Wisdom""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Paint a recognizable image of something you've seen ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Druidic Focus|XPHB}, {@item Holy Symbol|XPHB}""]}]}]",,,,
Pan Flute,XPHB,INS|XPHB,True,none,2,1200,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Pike,XPHB,M|XPHB,True,none,18,500,,,"[""H|XPHB"", ""R|XPHB"", ""2H|XPHB""]",1d10,P,
Pistol,XPHB,R|XPHB,True,none,3,25000,,,"[""A|XPHB"", ""LD|XPHB""]",1d10,P,
Plate Armor,XPHB,HA|XPHB,True,none,65,150000,,,,,,18
Potter's Tools,XPHB,AT|XPHB,True,none,3,1000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Intelligence""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Discern what a ceramic object held in the past 24 hours ({@dc 15})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Jug|XPHB}, {@item Lamp|XPHB}""]}]}]",,,,
Quarterstaff,XPHB,M|XPHB,True,none,4,20,,,"[""V|XPHB""]",1d6,B,
Rapier,XPHB,M|XPHB,True,none,2,2500,,,"[""F|XPHB""]",1d8,P,
Ring Mail,XPHB,HA|XPHB,True,none,40,3000,,,,,,14
Rod,XPHB,SCF|XPHB,True,none,2,1000,,,,,,
Scale Mail,XPHB,MA|XPHB,True,none,45,5000,,,,,,14
Scimitar,XPHB,M|XPHB,True,none,3,2500,,,"[""F|XPHB"", ""L|XPHB""]",1d6,S,
Shawm,XPHB,INS|XPHB,True,none,1,200,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Shield,XPHB,S|XPHB,True,none,6,1000,,,,,,2
Shortbow,XPHB,R|XPHB,True,none,2,2500,,,"[""A|XPHB"", ""2H|XPHB""]",1d6,P,
Shortsword,XPHB,M|XPHB,True,none,2,1000,,,"[""F|XPHB"", ""L|XPHB""]",1d6,P,
Sickle,XPHB,M|XPHB,True,none,2,100,,,"[""L|XPHB""]",1d4,S,
Sling,XPHB,R|XPHB,True,none,,10,,,"[""A|XPHB""]",1d4,B,
Sling Bullet,XPHB,A|XPHB,True,none,0.075,0.2,,"[""Sling bullets are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Sling Bullets are typically stored in a {@item Pouch|XPHB} (bought separately).""]",,,,
Sling Bullets (20),XPHB,A|XPHB,True,none,1.5,4,,"[""Sling bullets are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield."", ""Sling Bullets are typically stored in a {@item Pouch|XPHB} (bought separately).""]",,,,
Smith's Tools,XPHB,AT|XPHB,True,none,8,2000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Strength""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Pry open a door or container ({@dc 20})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""Any Melee weapon (except {@item Club|XPHB}, {@item Greatclub|XPHB}, {@item Quarterstaff|XPHB}, and {@item Whip|XPHB}), Medium armor (except {@item Hide Armor|XPHB|Hide}), Heavy armor, {@item Ball Bearings|XPHB}, {@item Bucket|XPHB}, {@item Caltrops|XPHB}, {@item Chain|XPHB}, {@item Crowbar|XPHB}, {@item Firearm Bullets (10)|XPHB|Firearm Bullets}, {@item Grappling Hook|XPHB}, {@item Iron Pot|XPHB}, {@item Iron Spikes|XPHB}, {@item Sling Bullets (20)|XPHB|Sling Bullets}""]}]}]",,,,
Spear,XPHB,M|XPHB,True,none,3,100,,,"[""T|XPHB"", ""V|XPHB""]",1d6,P,
Splint Armor,XPHB,HA|XPHB,True,none,60,20000,,,,,,17
Staff,XPHB,SCF|XPHB,True,none,4,500,,,"[""V""]",1d6,B,
Studded Leather Armor,XPHB,LA|XPHB,True,none,13,4500,,,,,,12
Tinker's Tools,XPHB,AT|XPHB,True,none,10,5000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Assemble a Tiny item composed of scrap, which falls apart in 1 minute ({@dc 20})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Musket|XPHB}, {@item Pistol|XPHB}, {@item Bell|XPHB}, {@item Bullseye Lantern|XPHB}, {@item Flask|XPHB}, {@item Hooded Lantern|XPHB}, {@item Hunting Trap|XPHB}, {@item Lock|XPHB}, {@item Manacles|XPHB}, {@item Mirror|XPHB}, {@item Shovel|XPHB}, {@item Signal Whistle|XPHB}, {@item Tinderbox|XPHB}""]}]}]",,,,
Trident,XPHB,M|XPHB,True,none,4,500,,,"[""T|XPHB"", ""V|XPHB""]",1d8,P,
Viol,XPHB,INS|XPHB,True,none,1,3000,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Charisma""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Play a known tune ({@dc 10}), or improvise a song ({@dc 15})""]}]}]",,,,
Wand,XPHB,SCF|XPHB,True,none,1,1000,,,,,,
War Pick,XPHB,M|XPHB,True,none,2,500,,,"[""V|XPHB""]",1d8,P,
Warhammer,XPHB,M|XPHB,True,none,5,1500,,,"[""V|XPHB""]",1d8,B,
Weaver's Tools,XPHB,AT|XPHB,True,none,5,100,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Mend a tear in clothing ({@dc 10}), or sew a Tiny design ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Padded Armor|XPHB}, {@item Basket|XPHB}, {@item Bedroll|XPHB}, {@item Blanket|XPHB}, {@item Fine Clothes|XPHB}, {@item Net|XPHB}, {@item Robe|XPHB}, {@item Rope|XPHB}, {@item Sack|XPHB}, {@item String|XPHB}, {@item Tent|XPHB}, {@item Traveler's Clothes|XPHB}""]}]}]",,,,
Whip,XPHB,M|XPHB,True,none,3,200,,,"[""F|XPHB"", ""R|XPHB""]",1d4,S,
Woodcarver's Tools,XPHB,AT|XPHB,True,none,5,100,,"[{""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""name"": ""Ability:"", ""type"": ""item"", ""entries"": [""Dexterity""]}, {""name"": ""Utilize:"", ""type"": ""item"", ""entries"": [""Carve a pattern in wood ({@dc 10})""]}, {""name"": ""Craft:"", ""type"": ""item"", ""entries"": [""{@item Club|XPHB}, {@item Greatclub|XPHB}, {@item Quarterstaff|XPHB}, Ranged weapons (except {@item Pistol|XPHB}, {@item Musket|XPHB}, and  {@item Sling|XPHB}), {@item Arcane Focus|XPHB}, {@item Arrows (20)|XPHB|Arrows}, {@item Bolts (20)|XPHB|Bolts}, {@item Druidic Focus|XPHB}, {@item Ink Pen|XPHB}, {@item Needles (50)|XPHB|Needles}""]}]}]",,,,
Wooden Staff,XPHB,SCF|XPHB,True,none,4,500,,,"[""V""]",1d6,B,
+1 Wand of the War Mage,XDMG,WD|XDMG,False,uncommon,1,,by a spellcaster,"[""While holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore {@variantrule Cover|XPHB|Half Cover} when making a spell attack roll.""]",,,,
+2 Wand of the War Mage,XDMG,WD|XDMG,False,rare,1,,by a spellcaster,"[""While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore {@variantrule Cover|XPHB|Half Cover} when making a spell attack roll.""]",,,,
+3 Wand of the War Mage,XDMG,WD|XDMG,False,very rare,1,,by a spellcaster,"[""While holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore {@variantrule Cover|XPHB|Half Cover} when making a spell attack roll.""]",,,,
Acid,XPHB,G|XPHB,False,none,1,2500,,"[""When you take the {@action Attack|XPHB} action, you can replace one of your attacks with throwing a vial of Acid. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw ({@dc 8} plus your Dexterity modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}) or take {@damage 2d6} Acid damage.""]",,,,
Alchemist's Fire,XPHB,G|XPHB,False,none,1,5000,,"[""When you take the {@action Attack|XPHB} action, you can replace one of your attacks with throwing a flask of Alchemist's Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw ({@dc 8} plus your Dexterity modifier and {@variantrule Proficiency|XPHB|Proficiency Bonus}) or take {@damage 1d4} Fire damage and start {@hazard burning|XPHB}.""]",,,,
Ale (mug),XPHB,FD|XPHB,False,none,,4,,,,,,
Amulet,XPHB,SCF|XPHB,False,none,1,500,,"[""For an Amulet to be an effective Holy Symbol, it must be worn or held.""]",,,,
Amulet of Health,XDMG,,False,rare,1,,true,"[""Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution is already 19 or higher without it.""]",,,,
Amulet of Proof against Detection and Location,XDMG,,False,uncommon,1,,true,"[""While wearing this amulet, you can't be targeted by Divination spells or perceived through magical scrying sensors unless you allow it.""]",,,,
Amulet of the Planes,XDMG,,False,very rare,1,,true,"[""While wearing this amulet, you can take a {@action Magic|XPHB} action to name a location that you are familiar with on another plane of existence. Then make a {@dc 15} Intelligence ({@skill Arcana|XPHB}) check. On a successful check, you cast {@spell Plane Shift|XPHB}. On a failed check, you and each creature and object within 15 feet of you travel to a random destination determined by rolling {@dice 1d100} and consulting the following table."", {""type"": ""table"", ""colStyles"": [""col-2 text-center"", ""col-10""], ""colLabels"": [""1d100"", ""Destination""], ""rows"": [[""01-60"", ""Random location on the plane you named""], [""61-70"", ""Random location on an Inner Plane determined by rolling {@dice 1d6}: on a {@b 1}, the Plane of Air; on a {@b 2}, the Plane of Earth; on a {@b 3}, the Plane of Fire; on a {@b 4}, the Plane of Water; on a {@b 5}, the Feywild; on a {@b 6}, the Shadowfell""], [""71-80"", ""Random location on an Outer Plane determined by rolling 1d8: on a {@b 1}, Arborea; on a {@b 2}, Arcadia; on a {@b 3}, the Beastlands; on a {@b 4}, Bytopia; on a {@b 5}, Elysium; on a {@b 6}, Mechanus; on a {@b 7}, Mount Celestia; on an {@b 8}, Ysgard""], [""81-90"", ""Random location on an Outer Plane determined by rolling {@dice 1d8}: on a {@b 1}, the Abyss; on a {@b 2}, Acheron; on a {@b 3}, Carceri; on a {@b 4}, Gehenna; on a {@b 5}, Hades; on a {@b 6}, Limbo; on a {@b 7}, the Nine Hells; on an {@b 8}, Pandemonium""], [""91-00"", ""Random location on the Astral Plane""]]}]",,,,
Animated Shield,XDMG,S|XPHB,False,very rare,6,,true,"[""While holding this Shield, you can take a {@variantrule Bonus Action|XPHB} to cause it to animate. The Shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The Shield remains animate for 1 minute, until you take a {@variantrule Bonus Action|XPHB} to end this effect, or until you die or have the {@condition Incapacitated|XPHB} condition, at which point the Shield falls to the ground or into your hand if you have one free.""]",,,,2
Antitoxin,XPHB,G|XPHB,False,none,,5000,,"[""As a {@variantrule Bonus Action|XPHB}, you can drink a vial of Antitoxin to gain {@variantrule Advantage|XPHB} on saving throws to avoid or end the {@condition Poisoned|XPHB} condition for 1 hour.""]",,,,
