Name,Source,ClassName,ClassSource,SubclassShortName,SubclassSource,Level,Description
Thief's Reflexes,PHB,Rogue,PHB,Thief,PHB,17,"[""When you reach 17th level, you have become adept at laying ambushes and quickly escaping danger. You can take two turns during the first round of any combat. You take your first turn at your normal initiative and your second turn at your initiative minus 10. You can't use this feature when you are {@status surprised}.""]"
Hunter,PHB,Ranger,PHB,Hunter,PHB,3,"[""Emulating the Hunter archetype means accepting your place as a bulwark between civilization and the terrors of the wilderness. As you walk the Hunter's path, you learn specialized techniques for fighting the threats you face, from rampaging ogres and hordes of orcs to towering giants and terrifying dragons."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Hunter's Prey|Ranger||Hunter||3""}]"
Horde Breaker,PHB,Ranger,PHB,Hunter,PHB,3,"[""Once on each of your turns when you make a weapon attack, you can make another attack with the same weapon against a different creature that is within 5 feet of the original target and within range of your weapon.""]"
Hunter's Prey,PHB,Ranger,PHB,Hunter,PHB,3,"[""At 3rd level, you gain one of the following features of your choice."", {""type"": ""options"", ""count"": 1, ""entries"": [{""type"": ""refSubclassFeature"", ""subclassFeature"": ""Colossus Slayer|Ranger||Hunter||3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Giant Killer|Ranger||Hunter||3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Horde Breaker|Ranger||Hunter||3""}]}]"
Colossus Slayer,PHB,Ranger,PHB,Hunter,PHB,3,"[""Your tenacity can wear down the most potent foes. When you hit a creature with a weapon attack, the creature takes an extra {@damage 1d8} damage if it's below its hit point maximum. You can deal this extra damage only once per turn.""]"
Giant Killer,PHB,Ranger,PHB,Hunter,PHB,3,"[""When a Large or larger creature within 5 feet of you hits or misses you with an attack, you can use your reaction to attack that creature immediately after its attack, provided that you can see the creature.""]"
Defensive Tactics,PHB,Ranger,PHB,Hunter,PHB,7,"[""At 7th level, you gain one of the following features of your choice."", {""type"": ""options"", ""count"": 1, ""entries"": [{""type"": ""refSubclassFeature"", ""subclassFeature"": ""Escape the Horde|Ranger||Hunter||7""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Multiattack Defense|Ranger||Hunter||7""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Steel Will|Ranger||Hunter||7""}]}]"
Escape the Horde,PHB,Ranger,PHB,Hunter,PHB,7,"[""Opportunity attacks against you are made with disadvantage.""]"
Multiattack Defense,PHB,Ranger,PHB,Hunter,PHB,7,"[""When a creature hits you with an attack, you gain a +4 bonus to AC against all subsequent attacks made by that creature for the rest of the turn.""]"
Steel Will,PHB,Ranger,PHB,Hunter,PHB,7,"[""You have advantage on saving throws against being {@condition frightened}.""]"
Multiattack,PHB,Ranger,PHB,Hunter,PHB,11,"[""At 11th level, you gain one of the following features of your choice."", {""type"": ""options"", ""count"": 1, ""entries"": [{""type"": ""refSubclassFeature"", ""subclassFeature"": ""Volley|Ranger||Hunter||11""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Whirlwind Attack|Ranger||Hunter||11""}]}]"
Volley,PHB,Ranger,PHB,Hunter,PHB,11,"[""You can use your action to make a ranged attack against any number of creatures within 10 feet of a point you can see within your weapon's range. You must have ammunition for each target, as normal, and you make a separate attack roll for each target.""]"
Whirlwind Attack,PHB,Ranger,PHB,Hunter,PHB,11,"[""You can use your action to make a melee attack against any number of creatures within 5 feet of you, with a separate attack roll for each target.""]"
Evasion,PHB,Ranger,PHB,Hunter,PHB,15,"[""You can nimbly dodge out of the way of certain area effects, such as a red dragon's fiery breath or a {@spell lightning bolt} spell. When you are subjected to an effect that allows you to make a Dexterity saving throw to take only half damage, you instead take no damage if you succeed on the saving throw, and only half damage if you fail.""]"
Stand Against the Tide,PHB,Ranger,PHB,Hunter,PHB,15,"[""When a hostile creature misses you with a melee attack, you can use your reaction to force that creature to repeat the same attack against another creature (other than itself) of your choice.""]"
Superior Hunter's Defense,PHB,Ranger,PHB,Hunter,PHB,15,"[""At 15th level, you gain one of the following features of your choice."", {""type"": ""options"", ""count"": 1, ""entries"": [{""type"": ""refSubclassFeature"", ""subclassFeature"": ""Evasion|Ranger||Hunter||15""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Stand Against the Tide|Ranger||Hunter||15""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Uncanny Dodge|Ranger||Hunter||15""}]}]"
Uncanny Dodge,PHB,Ranger,PHB,Hunter,PHB,15,"[""When an attacker that you can see hits you with an attack, you can use your reaction to halve the attack's damage against you.""]"
The Fiend,PHB,Warlock,PHB,Fiend,PHB,1,"[""You have made a pact with a fiend from the lower planes of existence, a being whose aims are evil, even if you strive against those aims. Such beings desire the corruption or destruction of all things, ultimately including you. Fiends powerful enough to forge a pact include demon lords such as Demogorgon, Orcus, Fraz-Urb'luu, and Baphomet; archdevils such as Asmodeus, Dispater, Mephistopheles, and Belial; pit fiends and balors that are especially mighty; and ultroloths and other lords of the yugoloths."", {""type"": ""entries"", ""name"": ""Expanded Spell List"", ""entries"": [""The Fiend lets you choose from an expanded list of spells when you learn a warlock spell. The following spells are added to the warlock spell list for you."", {""type"": ""table"", ""caption"": ""Fiend Expanded Spells"", ""colLabels"": [""Spell Level"", ""Spells""], ""colStyles"": [""col-2 text-center"", ""col-10""], ""rows"": [[""1st"", ""{@spell burning hands}, {@spell command}""], [""2nd"", ""{@spell blindness/deafness}, {@spell scorching ray}""], [""3rd"", ""{@spell fireball}, {@spell stinking cloud}""], [""4th"", ""{@spell fire shield}, {@spell wall of fire}""], [""5th"", ""{@spell flame strike}, {@spell hallow}""]]}]}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Dark One's Blessing|Warlock||Fiend||1""}]"
Dark One's Blessing,PHB,Warlock,PHB,Fiend,PHB,1,"[""Starting at 1st level, when you reduce a hostile creature to 0 hit points, you gain temporary hit points equal to your Charisma modifier + your warlock level (minimum of 1).""]"
Dark One's Own Luck,PHB,Warlock,PHB,Fiend,PHB,6,"[""Starting at 6th level, you can call on your patron to alter fate in your favor. When you make an ability check or a saving throw, you can use this feature to add a {@dice d10} to your roll. You can do so after seeing the initial roll but before any of the roll's effects occur."", ""Once you use this feature, you can't use it again until you finish a short or long rest.""]"
Fiendish Resilience,PHB,Warlock,PHB,Fiend,PHB,10,"[""Starting at 10th level, you can choose one damage type when you finish a short or long rest. You gain resistance to that damage type until you choose a different one with this feature. Damage from magical weapons or silver weapons ignores this resistance.""]"
Hurl Through Hell,PHB,Warlock,PHB,Fiend,PHB,14,"[""Starting at 14th level, when you hit a creature with an attack, you can use this feature to instantly transport the target through the lower planes. The creature disappears and hurtles through a nightmare landscape."", ""At the end of your next turn, the target returns to the space it previously occupied, or the nearest unoccupied space. If the target is not a fiend, it takes {@damage 10d10} psychic damage as it reels from its horrific experience."", ""Once you use this feature, you can't use it again until you finish a long rest.""]"
Oath of Devotion,PHB,Paladin,PHB,Devotion,PHB,3,"[""The Oath of Devotion binds a paladin to the loftiest ideals of justice, virtue, and order. Sometimes called cavaliers, white knights, or holy warriors, these paladins meet the ideal of the knight in shining armor, acting with honor in pursuit of justice and the greater good. They hold themselves to the highest standards of conduct, and some, for better or worse, hold the rest of the world to the same standards. Many who swear this oath are devoted to gods of law and good and use their gods' tenets as the measure of their devotion. They hold angels—the perfect servants of good—as their ideals, and incorporate images of angelic wings into their helmets or coats of arms."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Tenets of Devotion|Paladin||Devotion||3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Oath Spells|Paladin||Devotion||3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Channel Divinity|Paladin||Devotion||3""}]"
Channel Divinity,PHB,Paladin,PHB,Devotion,PHB,3,"[""When you take this oath at 3rd level, you gain the following two Channel Divinity options."", {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Sacred Weapon|Paladin||Devotion||3""}, {""type"": ""refSubclassFeature"", ""subclassFeature"": ""Turn the Unholy|Paladin||Devotion||3""}]"
Oath Spells,PHB,Paladin,PHB,Devotion,PHB,3,"[""You gain oath spells at the paladin levels listed."", {""type"": ""table"", ""caption"": ""Oath of Devotion Spells"", ""colLabels"": [""Paladin Level"", ""Spells""], ""colStyles"": [""col-2 text-center"", ""col-10""], ""rows"": [[""3rd"", ""{@spell protection from evil and good}, {@spell sanctuary}""], [""5th"", ""{@spell lesser restoration}, {@spell zone of truth}""], [""9th"", ""{@spell beacon of hope}, {@spell dispel magic}""], [""13th"", ""{@spell freedom of movement}, {@spell guardian of faith}""], [""17th"", ""{@spell commune}, {@spell flame strike}""]]}]"
Sacred Weapon,PHB,Paladin,PHB,Devotion,PHB,3,"[""As an action, you can imbue one weapon that you are holding with positive energy, using your Channel Divinity. For 1 minute, you add your Charisma modifier to attack rolls made with that weapon (with a minimum bonus of +1). The weapon also emits bright light in a 20-foot radius and dim light 20 feet beyond that. If the weapon is not already magical, it becomes magical for the duration."", ""You can end this effect on your turn as part of any other action. If you are no longer holding or carrying this weapon, or if you fall {@condition unconscious}, this effect ends.""]"
Tenets of Devotion,PHB,Paladin,PHB,Devotion,PHB,3,"[""Though the exact words and strictures of the Oath of Devotion vary, paladins of this oath share these tenets."", {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Honesty"", ""entries"": [""Don't lie or cheat. Let your word be your promise.""]}]}, {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Courage"", ""entries"": [""Never fear to act, though caution is wise.""]}]}, {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Compassion"", ""entries"": [""Aid others, protect the weak, and punish those who threaten them. Show mercy to your foes, but temper it with wisdom.""]}]}, {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Honor"", ""entries"": [""Treat others with fairness, and let your honorable deeds be an example to them. Do as much good as possible while causing the least amount of harm.""]}]}, {""type"": ""entries"", ""entries"": [{""type"": ""entries"", ""name"": ""Duty"", ""entries"": [""Be responsible for your actions and their consequences, protect those entrusted to your care, and obey those who have just authority over you.""]}]}]"
Turn the Unholy,PHB,Paladin,PHB,Devotion,PHB,3,"[""As an action, you present your holy symbol and speak a prayer censuring fiends and undead, using your Channel Divinity. Each fiend or undead that can see or hear you within 30 feet of you must make a Wisdom saving throw. If the creature fails its saving throw, it is turned for 1 minute or until it takes damage."", ""A turned creature must spend its turns trying to move as far away from you as it can, and it can't willingly move to a space within 30 feet of you. It also can't take reactions. For its action, it can use only the {@action Dash} action or try to escape from an effect that prevents it from moving. If there's nowhere to move, the creature can use the {@action Dodge} action.""]"
Aura of Devotion,PHB,Paladin,PHB,Devotion,PHB,7,"[""Starting at 7th level, you and friendly creatures within 10 feet of you can't be {@condition charmed} while you are conscious."", ""At 18th level, the range of this aura increases to 30 feet.""]"
Purity of Spirit,PHB,Paladin,PHB,Devotion,PHB,15,"[""Beginning at 15th level, you are always under the effects of a {@spell protection from evil and good} spell.""]"
Holy Nimbus,PHB,Paladin,PHB,Devotion,PHB,20,"[""At 20th level, as an action, you can emanate an aura of sunlight. For 1 minute, bright light shines from you in a 30-foot radius, and dim light shines 30 feet beyond that."", ""Whenever an enemy creature starts its turn in the bright light, the creature takes 10 radiant damage."", ""In addition, for the duration, you have advantage on saving throws against spells cast by fiends or undead."", ""Once you use this feature, you can't use it again until you finish a long rest.""]"
