Name,Source,ClassName,ClassSource,Level,Description
Divine Intervention,PHB,Cleric,PHB,10,"[""Beginning at 10th level, you can call on your deity to intervene on your behalf when your need is great."", ""Imploring your deity's aid requires you to use your action. Describe the assistance you seek, and roll percentile dice. If you roll a number equal to or lower than your cleric level, your deity intervenes. The DM chooses the nature of the intervention; the effect of any cleric spell or cleric domain spell would be appropriate. If your deity intervenes, you can't use this feature again for 7 days. Otherwise, you can use it again after you finish a long rest."", ""At 20th level, your call for intervention succeeds automatically, no roll required.""]"
Destroy Undead (CR 2),PHB,Cleric,PHB,11,"[""Starting at 11th level, when an {@filter undead of CR 2 or lower|bestiary|challenge rating=[&0;&2]|type=undead|miscellaneous=!swarm} fails its saving throw against your Turn Undead feature, the creature is instantly destroyed.""]"
Ability Score Improvement,PHB,Cleric,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Destroy Undead (CR 3),PHB,Cleric,PHB,14,"[""Starting at 14th level, when an {@filter undead of CR 3 or lower|bestiary|challenge rating=[&0;&3]|type=undead|miscellaneous=!swarm} fails its saving throw against your Turn Undead feature, the creature is instantly destroyed.""]"
Ability Score Improvement,PHB,Cleric,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Destroy Undead (CR 4),PHB,Cleric,PHB,17,"[""Starting at 17th level, when an {@filter undead of CR 4 or lower|bestiary|challenge rating=[&0;&4]|type=undead|miscellaneous=!swarm} fails its saving throw against your Turn Undead feature, the creature is instantly destroyed.""]"
Divine Domain feature,PHB,Cleric,PHB,17,"[""At 17th level, you gain a feature from your Divine Domain.""]"
Channel Divinity,PHB,Cleric,PHB,18,"[""Beginning at 18th level, you can use your Channel Divinity three times between rests.""]"
Ability Score Improvement,PHB,Cleric,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Divine Intervention Improvement,PHB,Cleric,PHB,20,"[""At 20th level, your call for intervention succeeds automatically, no roll required.""]"
Rage,PHB,Barbarian,PHB,1,"[""In battle, you fight with primal ferocity. On your turn, you can enter a rage as a bonus action."", ""While raging, you gain the following benefits if you aren't wearing heavy armor:"", {""type"": ""list"", ""items"": [""You have advantage on Strength checks and Strength saving throws."", ""When you make a melee weapon attack using Strength, you gain a +2 bonus to the damage roll. This bonus increases as you level."", ""You have resistance to bludgeoning, piercing, and slashing damage.""]}, ""If you are able to cast spells, you can't cast them or concentrate on them while raging."", ""Your rage lasts for 1 minute. It ends early if you are knocked {@condition unconscious} or if your turn ends and you haven't attacked a hostile creature since your last turn or taken damage since then. You can also end your rage on your turn as a bonus action."", ""Once you have raged the maximum number of times for your barbarian level, you must finish a long rest before you can rage again. You may rage 2 times at 1st level, 3 at 3rd, 4 at 6th, 5 at 12th, and 6 at 17th.""]"
Unarmored Defense,PHB,Barbarian,PHB,1,"[""While you are not wearing any armor, your Armor Class equals 10 + your Dexterity modifier + your Constitution modifier. You can use a shield and still gain this benefit.""]"
Danger Sense,PHB,Barbarian,PHB,2,"[""At 2nd level, you gain an uncanny sense of when things nearby aren't as they should be, giving you an edge when you dodge away from danger. You have advantage on Dexterity saving throws against effects that you can see, such as traps and spells. To gain this benefit, you can't be {@condition blinded}, {@condition deafened}, or {@condition incapacitated}.""]"
Reckless Attack,PHB,Barbarian,PHB,2,"[""Starting at 2nd level, you can throw aside all concern for defense to attack with fierce desperation. When you make your first attack on your turn, you can decide to attack recklessly. Doing so gives you advantage on melee weapon attack rolls using Strength during this turn, but attack rolls against you have advantage until your next turn.""]"
Primal Path,PHB,Barbarian,PHB,3,"[""At 3rd level, you choose a path that shapes the nature of your rage from the list of available paths. Your choice grants you features at 3rd level and again at 6th, 10th, and 14th levels.""]"
Ability Score Improvement,PHB,Barbarian,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Extra Attack,PHB,Barbarian,PHB,5,"[""Beginning at 5th level, you can attack twice, instead of once, whenever you take the {@action Attack} action on your turn.""]"
Fast Movement,PHB,Barbarian,PHB,5,"[""Starting at 5th level, your speed increases by 10 feet while you aren't wearing heavy armor.""]"
Path Feature,PHB,Barbarian,PHB,6,"[""At 6th level, you gain a feature from your Primal Path.""]"
Feral Instinct,PHB,Barbarian,PHB,7,"[""By 7th level, your instincts are so honed that you have advantage on initiative rolls."", ""Additionally, if you are {@status surprised} at the beginning of combat and aren't {@condition incapacitated}, you can act normally on your first turn, but only if you enter your rage before doing anything else on that turn.""]"
Ability Score Improvement,PHB,Barbarian,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Brutal Critical (1 die),PHB,Barbarian,PHB,9,"[""Beginning at 9th level, you can roll one additional weapon damage die when determining the extra damage for a critical hit with a melee attack."", ""This increases to two additional dice at 13th level and three additional dice at 17th level.""]"
Path feature,PHB,Barbarian,PHB,10,"[""At 10th level, you gain a feature from your Primal Path.""]"
Relentless Rage,PHB,Barbarian,PHB,11,"[""Starting at 11th level, your rage can keep you fighting despite grievous wounds. If you drop to 0 hit points while you're raging and don't die outright, you can make a {@dc 10} Constitution saving throw. If you succeed, you drop to 1 hit point instead."", ""Each time you use this feature after the first, the DC increases by 5. When you finish a short or long rest, the DC resets to 10.""]"
Ability Score Improvement,PHB,Barbarian,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Brutal Critical (2 dice),PHB,Barbarian,PHB,13,"[""At 13th level, you can roll two additional weapon damage dice when determining the extra damage for a critical hit with a melee attack."", ""This increases to three additional dice at 17th level.""]"
Path feature,PHB,Barbarian,PHB,14,"[""At 14th level, you gain a feature from your Primal Path.""]"
Persistent Rage,PHB,Barbarian,PHB,15,"[""Beginning at 15th level, your rage is so fierce that it ends early only if you fall {@condition unconscious} or if you choose to end it.""]"
Ability Score Improvement,PHB,Barbarian,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Brutal Critical (3 dice),PHB,Barbarian,PHB,17,"[""At 17th level, you can roll three additional weapon damage dice when determining the extra damage for a critical hit with a melee attack.""]"
Indomitable Might,PHB,Barbarian,PHB,18,"[""Beginning at 18th level, if your total for a Strength check is less than your Strength score, you can use that score in place of the total.""]"
Ability Score Improvement,PHB,Barbarian,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Primal Champion,PHB,Barbarian,PHB,20,"[""At 20th level, you embody the power of the wilds. Your Strength and Constitution scores increase by 4. Your maximum for those scores is now 24.""]"
Sorcerous Origin,PHB,Sorcerer,PHB,1,"[""Choose a sorcerous origin, which describes the source of your innate magical power, from the list of available origins."", ""Your choice grants you features when you choose it at 1st level and again at 6th, 14th, and 18th level.""]"
Spellcasting,PHB,Sorcerer,PHB,1,"[""An event in your past, or in the life of a parent or ancestor, left an indelible mark on you, infusing you with arcane magic. This font of magic, whatever its origin, fuels your spells. See {@book chapter 10|PHB|10} for the general rules of spellcasting and {@book chapter 11|PHB|11} for the {@filter sorcerer spell list|spells|class=sorcerer}."", {""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""At 1st level, you know four cantrips of your choice from the sorcerer spell list. You learn an additional sorcerer cantrip of your choice at 4th level and another at 10th level.""]}, {""type"": ""entries"", ""name"": ""Spell Slots"", ""entries"": [""The Sorcerer table shows how many spell slots you have to cast your {@filter sorcerer spells|spells|class=sorcerer} of 1st level and higher. To cast one of these sorcerer spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."", ""For example, if you know the 1st-level spell {@spell burning hands} and have a 1st-level and a 2nd-level spell slot available, you can cast {@spell burning hands} using either slot.""]}, {""type"": ""entries"", ""name"": ""Spells Known of 1st Level and Higher"", ""entries"": [""You know two 1st-level spells of your choice from the sorcerer spell list."", ""You learn an additional sorcerer spell of your choice at each level except 12th, 14th, 16th, 18th, 19th, and 20th. Each of these spells must be of a level for which you have spell slots. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level."", ""Additionally, when you gain a level in this class, you can choose one of the sorcerer spells you know and replace it with another spell from the sorcerer spell list, which also must be of a level for which you have spell slots.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Charisma is your spellcasting ability for your sorcerer spells, since the power of your magic relies on your ability to project your will into the world. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a sorcerer spell you cast and when making an attack roll with one."", {""type"": ""abilityDc"", ""name"": ""Spell"", ""attributes"": [""cha""]}, {""type"": ""abilityAttackMod"", ""name"": ""Spell"", ""attributes"": [""cha""]}]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use an {@item arcane focus|phb} as a spellcasting focus for your sorcerer spells.""]}]"
Flexible Casting,PHB,Sorcerer,PHB,2,"[""You can use your sorcery points to gain additional spell slots, or sacrifice spell slots to gain additional sorcery points. You learn other ways to use your sorcery points as you reach higher levels."", {""type"": ""entries"", ""name"": ""Creating Spell Slots"", ""entries"": [""You can transform unexpended sorcery points into one spell slot as a bonus action on your turn. The created spell slots vanish at the end of a long rest. The Creating Spell Slots table shows the cost of creating a spell slot of a given level. You can create spell slots no higher in level than 5th."", {""type"": ""table"", ""caption"": ""Creating Spell Slots"", ""colLabels"": [""Spell Slot Level"", ""Sorcery Point Cost""], ""colStyles"": [""col-6 text-center"", ""col-6 text-center""], ""rows"": [[""1st"", ""2""], [""2nd"", ""3""], [""3rd"", ""5""], [""4th"", ""6""], [""5th"", ""7""]]}]}, {""type"": ""entries"", ""name"": ""Converting a Spell Slot to Sorcery Points"", ""entries"": [""As a bonus action on your turn, you can expend one spell slot and gain a number of sorcery points equal to the slot's level.""]}]"
Font of Magic,PHB,Sorcerer,PHB,2,"[""At 2nd level, you tap into a deep wellspring of magic within yourself. This wellspring is represented by sorcery points, which allow you to create a variety of magical effects."", {""type"": ""refClassFeature"", ""classFeature"": ""Sorcery Points|Sorcerer||2""}, {""type"": ""refClassFeature"", ""classFeature"": ""Flexible Casting|Sorcerer||2""}]"
Sorcery Points,PHB,Sorcerer,PHB,2,"[""You have 2 sorcery points, and you gain one additional point every time you level up, to a maximum of 20 at level 20. You can never have more sorcery points than shown on the table for your level. You regain all spent sorcery points when you finish a long rest.""]"
Metamagic,PHB,Sorcerer,PHB,3,"[""At 3rd level, you gain the ability to twist your spells to suit your needs. You gain two of the following Metamagic options of your choice. You gain another one at 10th and 17th level."", ""You can use only one Metamagic option on a spell when you cast it, unless otherwise noted."", {""type"": ""options"", ""count"": 2, ""entries"": [{""type"": ""refOptionalfeature"", ""optionalfeature"": ""Careful Spell"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Distant Spell"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Empowered Spell"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Extended Spell"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Heightened Spell"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Quickened Spell"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Subtle Spell"", ""preserve"": {""consumes"": true}}, {""type"": ""refOptionalfeature"", ""optionalfeature"": ""Twinned Spell"", ""preserve"": {""consumes"": true}}]}]"
Ability Score Improvement,PHB,Sorcerer,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Sorcerous Origin feature,PHB,Sorcerer,PHB,6,"[""At 6th level, you gain a feature granted by your Sorcerous Origin.""]"
Ability Score Improvement,PHB,Sorcerer,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Metamagic,PHB,Sorcerer,PHB,10,"[""At 10th level, you learn an additional metamagic option.""]"
Ability Score Improvement,PHB,Sorcerer,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Sorcerous Origin feature,PHB,Sorcerer,PHB,14,"[""At 14th level, you gain a feature granted by your Sorcerous Origin.""]"
Ability Score Improvement,PHB,Sorcerer,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Metamagic,PHB,Sorcerer,PHB,17,"[""At 17th level, you learn an additional metamagic option.""]"
Sorcerous Origin feature,PHB,Sorcerer,PHB,18,"[""At 18th level, you gain a feature granted by your Sorcerous Origin.""]"
Ability Score Improvement,PHB,Sorcerer,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Sorcerous Restoration,PHB,Sorcerer,PHB,20,"[""At 20th level, you regain 4 expended sorcery points whenever you finish a short rest.""]"
Bardic Inspiration,PHB,Bard,PHB,1,"[""You can inspire others through stirring words or music. To do so, you use a bonus action on your turn to choose one creature other than yourself within 60 feet of you who can hear you. That creature gains one Bardic Inspiration die, a {@dice d6}."", ""Once within the next 10 minutes, the creature can roll the die and add the number rolled to one ability check, attack roll, or saving throw it makes. The creature can wait until after it rolls the {@dice d20} before deciding to use the Bardic Inspiration die, but must decide before the DM says whether the roll succeeds or fails. Once the Bardic Inspiration die is rolled, it is lost. A creature can have only one Bardic Inspiration die at a time."", ""You can use this feature a number of times equal to your Charisma modifier (a minimum of once). You regain any expended uses when you finish a long rest."", ""Your Bardic Inspiration die changes when you reach certain levels in this class. The die becomes a {@dice d8} at 5th level, a {@dice d10} at 10th level, and a {@dice d12} at 15th level.""]"
Spellcasting,PHB,Bard,PHB,1,"[""You have learned to untangle and reshape the fabric of reality in harmony with your wishes and music. Your spells are part of your vast repertoire, magic that you can tune to different situations. See {@book chapter 10|PHB|10} for the general rules of spellcasting and {@book chapter 11|PHB|11} for the {@filter bard spell list|spells|class=bard}."", {""type"": ""entries"", ""name"": ""Cantrips"", ""entries"": [""You know two cantrips of your choice from the bard spell list. You learn additional bard cantrips of your choice at higher levels, learning a 3rd cantrip at 4th level and a 4th at 10th level.""]}, {""type"": ""entries"", ""name"": ""Spell Slots"", ""entries"": [""The Bard table shows how many spell slots you have to cast your {@filter bard spells|spells|class=bard} of 1st level and higher. To cast one of these spells, you must expend a slot of the spell's level or higher. You regain all expended spell slots when you finish a long rest."", ""For example, if you know the 1st-level spell {@spell cure wounds} and have a 1st-level and a 2nd-level spell slot available, you can cast {@spell cure wounds} using either slot.""]}, {""type"": ""entries"", ""name"": ""Spells Known of 1st Level and Higher"", ""entries"": [""You know four 1st-level spells of your choice from the bard spell list."", ""You learn an additional bard spell of your choice at each level except 12th, 16th, 19th, and 20th. Each of these spells must be of a level for which you have spell slots. For instance, when you reach 3rd level in this class, you can learn one new spell of 1st or 2nd level."", ""Additionally, when you gain a level in this class, you can choose one of the bard spells you know and replace it with another spell from the bard spell list, which also must be of a level for which you have spell slots.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Ability"", ""entries"": [""Charisma is your spellcasting ability for your bard spells. Your magic comes from the heart and soul you pour into the performance of your music or oration. You use your Charisma whenever a spell refers to your spellcasting ability. In addition, you use your Charisma modifier when setting the saving throw DC for a bard spell you cast and when making an attack roll with one."", {""type"": ""abilityDc"", ""name"": ""Spell"", ""attributes"": [""cha""]}, {""type"": ""abilityAttackMod"", ""name"": ""Spell"", ""attributes"": [""cha""]}]}, {""type"": ""entries"", ""name"": ""Ritual Casting"", ""entries"": [""You can cast any bard spell you know as a ritual if that spell has the ritual tag.""]}, {""type"": ""entries"", ""name"": ""Spellcasting Focus"", ""entries"": [""You can use a {@item musical instrument|PHB} as a spellcasting focus for your bard spells.""]}]"
Jack of All Trades,PHB,Bard,PHB,2,"[""Starting at 2nd level, you can add half your proficiency bonus, rounded down, to any ability check you make that doesn't already include your proficiency bonus.""]"
Song of Rest (d6),PHB,Bard,PHB,2,"[""Beginning at 2nd level, you can use soothing music or oration to help revitalize your wounded allies during a short rest. If you or any friendly creatures who can hear your performance regain hit points by spending Hit Dice at the end of the short rest, each of those creatures regains an extra {@dice 1d6} hit points."", ""The extra hit points increase when you reach certain levels in this class: to {@dice 1d8} at 9th level, to {@dice 1d10} at 13th level, and to {@dice 1d12} at 17th level.""]"
Bard College,PHB,Bard,PHB,3,"[""At 3rd level, you delve into the advanced techniques of a bard college of your choice from the list of available colleges. Your choice grants you features at 3rd level and again at 6th and 14th level.""]"
Expertise,PHB,Bard,PHB,3,"[""At 3rd level, choose two of your skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies."", ""At 10th level, you can choose another two skill proficiencies to gain this benefit.""]"
Ability Score Improvement,PHB,Bard,PHB,4,"[""When you reach 4th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Bardic Inspiration (d8),PHB,Bard,PHB,5,"[""At 5th level, your Bardic Inspiration die changes to a {@dice d8}.""]"
Font of Inspiration,PHB,Bard,PHB,5,"[""Beginning when you reach 5th level, you regain all of your expended uses of Bardic Inspiration when you finish a short or long rest.""]"
Bard College feature,PHB,Bard,PHB,6,"[""At 6th level, you gain a feature from your Bard College.""]"
Countercharm,PHB,Bard,PHB,6,"[""At 6th level, you gain the ability to use musical notes or words of power to disrupt mind-influencing effects. As an action, you can start a performance that lasts until the end of your next turn. During that time, you and any friendly creatures within 30 feet of you have advantage on saving throws against being {@condition frightened} or {@condition charmed}. A creature must be able to hear you to gain this benefit. The performance ends early if you are {@condition incapacitated} or silenced or if you voluntarily end it (no action required).""]"
Ability Score Improvement,PHB,Bard,PHB,8,"[""When you reach 8th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Song of Rest (d8),PHB,Bard,PHB,9,"[""At 9th level, the extra hit points gained from Song of Rest increases to {@dice 1d8}.""]"
Bardic Inspiration (d10),PHB,Bard,PHB,10,"[""At 10th level, your Bardic Inspiration die changes to a {@dice d10}.""]"
Expertise,PHB,Bard,PHB,10,"[""At 10th level, you can choose another two skill proficiencies. Your proficiency bonus is doubled for any ability check you make that uses either of the chosen proficiencies.""]"
Magical Secrets,PHB,Bard,PHB,10,"[""By 10th level, you have plundered magical knowledge from a wide spectrum of disciplines. Choose two spells from any classes, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip."", ""The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table."", ""You learn two additional spells from any classes at 14th level and again at 18th level.""]"
Ability Score Improvement,PHB,Bard,PHB,12,"[""When you reach 12th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Song of Rest (d10),PHB,Bard,PHB,13,"[""At 13th level, the extra hit points gained from Song of Rest increases to {@dice 1d10}.""]"
Bard College feature,PHB,Bard,PHB,14,"[""At 14th level, you gain a feature from your Bard College.""]"
Magical Secrets,PHB,Bard,PHB,14,"[""At 14th level, choose two additional spells from any classes, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip."", ""The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table.""]"
Bardic Inspiration (d12),PHB,Bard,PHB,15,"[""At 15th level, your Bardic Inspiration die changes to a {@dice d12}.""]"
Ability Score Improvement,PHB,Bard,PHB,16,"[""When you reach 16th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Song of Rest (d12),PHB,Bard,PHB,17,"[""At 17th level, the extra hit points gained from Song of Rest increases to {@dice 1d12}.""]"
Magical Secrets,PHB,Bard,PHB,18,"[""At 18th level, choose two additional spells from any class, including this one. A spell you choose must be of a level you can cast, as shown on the Bard table, or a cantrip."", ""The chosen spells count as bard spells for you and are included in the number in the Spells Known column of the Bard table.""]"
Ability Score Improvement,PHB,Bard,PHB,19,"[""When you reach 19th level, you can increase one ability score of your choice by 2, or you can increase two ability scores of your choice by 1. As normal, you can't increase an ability score above 20 using this feature."", ""If your DM allows the use of feats, you may instead take a {@5etools feat|feats.html}.""]"
Superior Inspiration,PHB,Bard,PHB,20,"[""At 20th level, when you roll initiative and have no uses of Bardic Inspiration left, you regain one use.""]"
