Name,Source,Size,Type,Alignment,AC,HP,Speed,STR,DEX,CON,INT,WIS,CHA,Save,Skill,Passive Perception,Languages,CR,Traits,Actions,Bonus Actions,Reactions,Legendary Actions,Spellcasting
Ancient Copper Dragon,MM,"[""G""]",dragon,"[""C"", ""G""]","[{""ac"": 21, ""from"": [""natural armor""]}]","{""average"": 350, ""formula"": ""20d20 + 140""}","{""walk"": 40, ""climb"": 40, ""fly"": 80}",27,12,25,20,17,19,"{""dex"": ""+8"", ""con"": ""+14"", ""wis"": ""+10"", ""cha"": ""+11""}","{""deception"": ""+11"", ""perception"": ""+17"", ""stealth"": ""+8""}",27,"[""Common"", ""Draconic""]",21,"[{""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 15} to hit, reach 15 ft., one target. {@h}19 ({@damage 2d10 + 8}) piercing damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 15} to hit, reach 10 ft., one target. {@h}15 ({@damage 2d6 + 8}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 15} to hit, reach 20 ft., one target. {@h}17 ({@damage 2d8 + 8}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 19} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Breath Weapons {@recharge 5}"", ""entries"": [""The dragon uses one of the following breath weapons."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Acid Breath"", ""entry"": ""The dragon exhales acid in a 90-foot line that is 10 feet wide. Each creature in that line must make a {@dc 22} Dexterity saving throw, taking 63 ({@damage 14d8}) acid damage on a failed save, or half as much damage on a successful one.""}, {""type"": ""item"", ""name"": ""Slowing Breath"", ""entry"": ""The dragon exhales gas in a 90-foot cone. Each creature in that area must succeed on a {@dc 22} Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.""}]}]}, {""name"": ""Change Shape"", ""entries"": [""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice)."", ""In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a {@dc 23} Dexterity saving throw or take 15 ({@damage 2d6 + 8}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Ancient Gold Dragon,MM,"[""G""]",dragon,"[""L"", ""G""]","[{""ac"": 22, ""from"": [""natural armor""]}]","{""average"": 546, ""formula"": ""28d20 + 252""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",30,14,29,18,17,28,"{""dex"": ""+9"", ""con"": ""+16"", ""wis"": ""+10"", ""cha"": ""+16""}","{""insight"": ""+10"", ""perception"": ""+17"", ""persuasion"": ""+16"", ""stealth"": ""+9""}",27,"[""Common"", ""Draconic""]",24,"[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 15 ft., one target. {@h}21 ({@damage 2d10 + 10}) piercing damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 10 ft., one target. {@h}17 ({@damage 2d6 + 10}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 20 ft., one target. {@h}19 ({@damage 2d8 + 10}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 24} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Breath Weapons {@recharge 5}"", ""entries"": [""The dragon uses one of the following breath weapons."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Fire Breath"", ""entry"": ""The dragon exhales fire in a 90-foot cone. Each creature in that area must make a {@dc 24} Dexterity saving throw, taking 71 ({@damage 13d10}) fire damage on a failed save, or half as much damage on a successful one.""}, {""type"": ""item"", ""name"": ""Weakening Breath"", ""entry"": ""The dragon exhales gas in a 90-foot cone. Each creature in that area must succeed on a {@dc 24} Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""}]}]}, {""name"": ""Change Shape"", ""entries"": [""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice)."", ""In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a {@dc 25} Dexterity saving throw or take 17 ({@damage 2d6 + 10}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Ancient Green Dragon,MM,"[""G""]",dragon,"[""L"", ""E""]","[{""ac"": 21, ""from"": [""natural armor""]}]","{""average"": 385, ""formula"": ""22d20 + 154""}","{""walk"": 40, ""fly"": 80, ""swim"": 40}",27,12,25,20,17,19,"{""dex"": ""+8"", ""con"": ""+14"", ""wis"": ""+10"", ""cha"": ""+11""}","{""deception"": ""+11"", ""insight"": ""+10"", ""perception"": ""+17"", ""persuasion"": ""+11"", ""stealth"": ""+8""}",27,"[""Common"", ""Draconic""]",22,"[{""name"": ""Amphibious"", ""entries"": [""The dragon can breathe air and water.""]}, {""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 15} to hit, reach 15 ft., one target. {@h}19 ({@damage 2d10 + 8}) piercing damage plus 10 ({@damage 3d6}) poison damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 15} to hit, reach 10 ft., one target. {@h}22 ({@damage 4d6 + 8}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 15} to hit, reach 20 ft., one target. {@h}17 ({@damage 2d8 + 8}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 19} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Poison Breath {@recharge 5}"", ""entries"": [""The dragon exhales poisonous gas in a 90-foot cone. Each creature in that area must make a {@dc 22} Constitution saving throw, taking 77 ({@damage 22d6}) poison damage on a failed save, or half as much damage on a successful one.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a {@dc 23} Dexterity saving throw or take 15 ({@damage 2d6 + 8}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Ancient Red Dragon,MM,"[""G""]",dragon,"[""C"", ""E""]","[{""ac"": 22, ""from"": [""natural armor""]}]","{""average"": 546, ""formula"": ""28d20 + 252""}","{""walk"": 40, ""climb"": 40, ""fly"": 80}",30,10,29,18,15,23,"{""dex"": ""+7"", ""con"": ""+16"", ""wis"": ""+9"", ""cha"": ""+13""}","{""perception"": ""+16"", ""stealth"": ""+7""}",26,"[""Common"", ""Draconic""]",24,"[{""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 15 ft., one target. {@h}21 ({@damage 2d10 + 10}) piercing damage plus 14 ({@damage 4d6}) fire damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 10 ft., one target. {@h}17 ({@damage 2d6 + 10}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 20 ft., one target. {@h}19 ({@damage 2d8 + 10}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 21} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Fire Breath {@recharge 5}"", ""entries"": [""The dragon exhales fire in a 90-foot cone. Each creature in that area must make a {@dc 24} Dexterity saving throw, taking 91 ({@damage 26d6}) fire damage on a failed save, or half as much damage on a successful one.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a {@dc 25} Dexterity saving throw or take 17 ({@damage 2d6 + 10}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Ancient Silver Dragon,MM,"[""G""]",dragon,"[""L"", ""G""]","[{""ac"": 22, ""from"": [""natural armor""]}]","{""average"": 487, ""formula"": ""25d20 + 225""}","{""walk"": 40, ""fly"": 80}",30,10,29,18,15,23,"{""dex"": ""+7"", ""con"": ""+16"", ""wis"": ""+9"", ""cha"": ""+13""}","{""arcana"": ""+11"", ""history"": ""+11"", ""perception"": ""+16"", ""stealth"": ""+7""}",26,"[""Common"", ""Draconic""]",23,"[{""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 15 ft., one target. {@h}21 ({@damage 2d10 + 10}) piercing damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 10 ft., one target. {@h}17 ({@damage 2d6 + 10}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 17} to hit, reach 20 ft., one target. {@h}19 ({@damage 2d8 + 10}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 21} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Breath Weapons {@recharge 5}"", ""entries"": [""The dragon uses one of the following breath weapons."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Cold Breath"", ""entry"": ""The dragon exhales an icy blast in a 90-foot cone. Each creature in that area must make a {@dc 24} Constitution saving throw, taking 67 ({@damage 15d8}) cold damage on a failed save, or half as much damage on a successful one.""}, {""type"": ""item"", ""name"": ""Paralyzing Breath"", ""entry"": ""The dragon exhales paralyzing gas in a 90-foot cone. Each creature in that area must succeed on a {@dc 24} Constitution saving throw or be {@condition paralyzed} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""}]}]}, {""name"": ""Change Shape"", ""entries"": [""The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice)."", ""In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a {@dc 25} Dexterity saving throw or take 17 ({@damage 2d6 + 10}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Ancient White Dragon,MM,"[""G""]",dragon,"[""C"", ""E""]","[{""ac"": 20, ""from"": [""natural armor""]}]","{""average"": 333, ""formula"": ""18d20 + 144""}","{""walk"": 40, ""burrow"": 40, ""fly"": 80, ""swim"": 40}",26,10,26,10,13,14,"{""dex"": ""+6"", ""con"": ""+14"", ""wis"": ""+7"", ""cha"": ""+8""}","{""perception"": ""+13"", ""stealth"": ""+6""}",23,"[""Common"", ""Draconic""]",20,"[{""name"": ""Ice Walk"", ""entries"": [""The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, {@quickref difficult terrain||3} composed of ice or snow doesn't cost it extra movement.""]}, {""name"": ""Legendary Resistance (3/Day)"", ""entries"": [""If the dragon fails a saving throw, it can choose to succeed instead.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.""]}, {""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 14} to hit, reach 15 ft., one target. {@h}19 ({@damage 2d10 + 8}) piercing damage plus 9 ({@damage 2d8}) cold damage.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 14} to hit, reach 10 ft., one target. {@h}15 ({@damage 2d6 + 8}) slashing damage.""]}, {""name"": ""Tail"", ""entries"": [""{@atk mw} {@hit 14} to hit, reach 20 ft., one target. {@h}17 ({@damage 2d8 + 8}) bludgeoning damage.""]}, {""name"": ""Frightful Presence"", ""entries"": [""Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a {@dc 16} Wisdom saving throw or become {@condition frightened} for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.""]}, {""name"": ""Cold Breath {@recharge 5}"", ""entries"": [""The dragon exhales an icy blast in a 90-foot cone. Each creature in that area must make a {@dc 22} Constitution saving throw, taking 72 ({@damage 16d8}) cold damage on a failed save, or half as much damage on a successful one.""]}]",,,"[{""name"": ""Detect"", ""entries"": [""The dragon makes a Wisdom ({@skill Perception}) check.""]}, {""name"": ""Tail Attack"", ""entries"": [""The dragon makes a tail attack.""]}, {""name"": ""Wing Attack (Costs 2 Actions)"", ""entries"": [""The dragon beats its wings. Each creature within 15 feet of the dragon must succeed on a {@dc 22} Dexterity saving throw or take 15 ({@damage 2d6 + 8}) bludgeoning damage and be knocked {@condition prone}. The dragon can then fly up to half its flying speed.""]}]",
Androsphinx,MM,"[""L""]",monstrosity,"[""L"", ""N""]","[{""ac"": 17, ""from"": [""natural armor""]}]","{""average"": 199, ""formula"": ""19d10 + 95""}","{""walk"": 40, ""fly"": 60}",22,10,20,16,18,23,"{""dex"": ""+6"", ""con"": ""+11"", ""int"": ""+9"", ""wis"": ""+10""}","{""arcana"": ""+9"", ""perception"": ""+10"", ""religion"": ""+15""}",20,"[""Common"", ""Sphinx""]",17,"[{""name"": ""Inscrutable"", ""entries"": [""The sphinx is immune to any effect that would sense its emotions or read its thoughts, as well as any divination spell that it refuses. Wisdom ({@skill Insight}) checks made to ascertain the sphinx's intentions or sincerity have disadvantage.""]}, {""name"": ""Magic Weapons"", ""entries"": [""The sphinx's weapon attacks are magical.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The sphinx makes two claw attacks.""]}, {""name"": ""Claw"", ""entries"": [""{@atk mw} {@hit 12} to hit, reach 5 ft., one target. {@h}17 ({@damage 2d10 + 6}) slashing damage.""]}, {""name"": ""Roar (3/Day)"", ""entries"": [""The sphinx emits a magical roar. Each time it roars before finishing a long rest, the roar is louder and the effect is different, as detailed below. Each creature within 500 feet of the sphinx and able to hear the roar must make a saving throw."", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""First Roar"", ""entry"": ""Each creature that fails a {@dc 18} Wisdom saving throw is {@condition frightened} for 1 minute. A {@condition frightened} creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""}, {""type"": ""item"", ""name"": ""Second Roar"", ""entry"": ""Each creature that fails a {@dc 18} Wisdom saving throw is {@condition deafened} and {@condition frightened} for 1 minute. A {@condition frightened} creature is {@condition paralyzed} and can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.""}, {""type"": ""item"", ""name"": ""Third Roar"", ""entry"": ""Each creature makes a {@dc 18} Constitution saving throw. On a failed save, a creature takes 44 ({@damage 8d10}) thunder damage and is knocked {@condition prone}. On a successful save, the creature takes half as much damage and isn't knocked {@condition prone}.""}]}]}]",,,"[{""name"": ""Claw Attack"", ""entries"": [""The sphinx makes one claw attack.""]}, {""name"": ""Teleport (Costs 2 Actions)"", ""entries"": [""The sphinx magically teleports, along with any equipment it is wearing or carrying, up to 120 feet to an unoccupied space it can see.""]}, {""name"": ""Cast a Spell (Costs 3 Actions)"", ""entries"": [""The sphinx casts a spell from its list of prepared spells, using a spell slot as normal.""]}]","[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The sphinx is a 12th-level spellcaster. Its spellcasting ability is Wisdom (spell save {@dc 18}, {@hit 10} to hit with spell attacks). It requires no material components to cast its spells. The sphinx has the following cleric spells prepared:""], ""spells"": {""0"": {""spells"": [""{@spell sacred flame}"", ""{@spell spare the dying}"", ""{@spell thaumaturgy}""]}, ""1"": {""slots"": 4, ""spells"": [""{@spell command}"", ""{@spell detect evil and good}"", ""{@spell detect magic}""]}, ""2"": {""slots"": 3, ""spells"": [""{@spell lesser restoration}"", ""{@spell zone of truth}""]}, ""3"": {""slots"": 3, ""spells"": [""{@spell dispel magic}"", ""{@spell tongues}""]}, ""4"": {""slots"": 3, ""spells"": [""{@spell banishment}"", ""{@spell freedom of movement}""]}, ""5"": {""slots"": 2, ""spells"": [""{@spell flame strike}"", ""{@spell greater restoration}""]}, ""6"": {""slots"": 1, ""spells"": [""{@spell heroes' feast}""]}}, ""ability"": ""wis""}]"
Animated Armor,MM,"[""M""]",construct,"[""U""]","[{""ac"": 18, ""from"": [""natural armor""]}]","{""average"": 33, ""formula"": ""6d8 + 6""}","{""walk"": 25}",14,11,13,1,3,1,,,6,,1,"[{""name"": ""Antimagic Susceptibility"", ""entries"": [""The armor is {@condition incapacitated} while in the area of an {@spell antimagic field}. If targeted by {@spell dispel magic}, the armor must succeed on a Constitution saving throw against the caster's spell save DC or fall {@condition unconscious} for 1 minute.""]}, {""name"": ""False Appearance"", ""entries"": [""While the armor remains motionless, it is indistinguishable from a normal suit of armor.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The armor makes two melee attacks.""]}, {""name"": ""Slam"", ""entries"": [""{@atk mw} {@hit 4} to hit, reach 5 ft., one target. {@h}5 ({@damage 1d6 + 2}) bludgeoning damage.""]}]",,,,
Ankheg,MM,"[""L""]",monstrosity,"[""U""]","[{""ac"": 14, ""from"": [""natural armor""]}, {""ac"": 11, ""condition"": ""while prone""}]","{""average"": 39, ""formula"": ""6d10 + 6""}","{""walk"": 30, ""burrow"": 10}",17,11,13,1,13,6,,,11,,2,,"[{""name"": ""Bite"", ""entries"": [""{@atk mw} {@hit 5} to hit, reach 5 ft., one target. {@h}10 ({@damage 2d6 + 3}) slashing damage plus 3 ({@damage 1d6}) acid damage. If the target is a Large or smaller creature, it is {@condition grappled} (escape {@dc 13}). Until this grapple ends, the ankheg can bite only the {@condition grappled} creature and has advantage on attack rolls to do so.""]}, {""name"": ""Acid Spray {@recharge}"", ""entries"": [""The ankheg spits acid in a line that is 30 feet long and 5 feet wide, provided that it has no creature {@condition grappled}. Each creature in that line must make a {@dc 13} Dexterity saving throw, taking 10 ({@damage 3d6}) acid damage on a failed save, or half as much damage on a successful one.""]}]",,,,
Ape,MM,"[""M""]",beast,"[""U""]",[12],"{""average"": 19, ""formula"": ""3d8 + 6""}","{""walk"": 30, ""climb"": 30}",16,14,14,6,12,7,,"{""athletics"": ""+5"", ""perception"": ""+3""}",13,,1/2,,"[{""name"": ""Multiattack"", ""entries"": [""The ape makes two fist attacks.""]}, {""name"": ""Fist"", ""entries"": [""{@atk mw} {@hit 5} to hit, reach 5 ft., one target. {@h}6 ({@damage 1d6 + 3}) bludgeoning damage.""]}, {""name"": ""Rock"", ""entries"": [""{@atk rw} {@hit 5} to hit, range 25/50 ft., one target. {@h}6 ({@damage 1d6 + 3}) bludgeoning damage.""]}]",,,,
Archmage,MM,"[""M""]","{""type"": ""humanoid"", ""tags"": [""any race""]}","[""A""]","[12, {""ac"": 15, ""condition"": ""with {@spell mage armor}"", ""braces"": true}]","{""average"": 99, ""formula"": ""18d8 + 18""}","{""walk"": 30}",10,14,12,20,15,16,"{""int"": ""+9"", ""wis"": ""+6""}","{""arcana"": ""+13"", ""history"": ""+13""}",12,"[""any six languages""]",12,"[{""name"": ""Magic Resistance"", ""entries"": [""The archmage has advantage on saving throws against spells and other magical effects.""]}]","[{""name"": ""Dagger"", ""entries"": [""{@atk mw,rw} {@hit 6} to hit, reach 5 ft. or range 20/60 ft., one target. {@h}4 ({@damage 1d4 + 2}) piercing damage.""]}]",,,,"[{""name"": ""Spellcasting"", ""type"": ""spellcasting"", ""headerEntries"": [""The archmage is an 18th-level spellcaster. Its spellcasting ability is Intelligence (spell save {@dc 17}, {@hit 9} to hit with spell attacks). The archmage can cast {@spell disguise self} and {@spell invisibility} at will and has the following wizard spells prepared:""], ""will"": [""{@spell disguise self}"", ""{@spell invisibility}""], ""spells"": {""0"": {""spells"": [""{@spell fire bolt}"", ""{@spell light}"", ""{@spell mage hand}"", ""{@spell prestidigitation}"", ""{@spell shocking grasp}""]}, ""1"": {""slots"": 4, ""spells"": [""{@spell detect magic}"", ""{@spell identify}"", ""{@spell mage armor}*"", ""{@spell magic missile}""]}, ""2"": {""slots"": 3, ""spells"": [""{@spell detect thoughts}"", ""{@spell mirror image}"", ""{@spell misty step}""]}, ""3"": {""slots"": 3, ""spells"": [""{@spell counterspell}"", ""{@spell fly}"", ""{@spell lightning bolt}""]}, ""4"": {""slots"": 3, ""spells"": [""{@spell banishment}"", ""{@spell fire shield}"", ""{@spell stoneskin}*""]}, ""5"": {""slots"": 3, ""spells"": [""{@spell cone of cold}"", ""{@spell scrying}"", ""{@spell wall of force}""]}, ""6"": {""slots"": 1, ""spells"": [""{@spell globe of invulnerability}""]}, ""7"": {""slots"": 1, ""spells"": [""{@spell teleport}""]}, ""8"": {""slots"": 1, ""spells"": [""{@spell mind blank}*""]}, ""9"": {""slots"": 1, ""spells"": [""{@spell time stop}""]}}, ""footerEntries"": [""*The archmage casts these spells on itself before combat.""], ""ability"": ""int"", ""hidden"": [""will""]}]"
Assassin,MM,"[""M""]","{""type"": ""humanoid"", ""tags"": [""any race""]}","[""L"", ""NX"", ""C"", ""NY"", ""E""]","[{""ac"": 15, ""from"": [""{@item studded leather armor|phb|studded leather}""]}]","{""average"": 78, ""formula"": ""12d8 + 24""}","{""walk"": 30}",11,16,14,13,11,10,"{""dex"": ""+6"", ""int"": ""+4""}","{""acrobatics"": ""+6"", ""deception"": ""+3"", ""perception"": ""+3"", ""stealth"": ""+9""}",13,"[""Thieves' cant plus any two languages""]",8,"[{""name"": ""Assassinate"", ""entries"": [""During its first turn, the assassin has advantage on attack rolls against any creature that hasn't taken a turn. Any hit the assassin scores against a {@status surprised} creature is a critical hit.""]}, {""name"": ""Evasion"", ""entries"": [""If the assassin is subjected to an effect that allows it to make a Dexterity saving throw to take only half damage, the assassin instead takes no damage if it succeeds on the saving throw, and only half damage if it fails.""]}, {""name"": ""Sneak Attack (1/Turn)"", ""entries"": [""The assassin deals an extra 14 ({@damage 4d6}) damage when it hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of the assassin that isn't {@condition incapacitated} and the assassin doesn't have disadvantage on the attack roll.""]}]","[{""name"": ""Multiattack"", ""entries"": [""The assassin makes two shortsword attacks.""]}, {""name"": ""Shortsword"", ""entries"": [""{@atk mw} {@hit 6} to hit, reach 5 ft., one target. {@h}6 ({@damage 1d6 + 3}) piercing damage, and the target must make a {@dc 15} Constitution saving throw, taking 24 ({@damage 7d6}) poison damage on a failed save, or half as much damage on a successful one.""]}, {""name"": ""Light Crossbow"", ""entries"": [""{@atk rw} {@hit 6} to hit, range 80/320 ft., one target. {@h}7 ({@damage 1d8 + 3}) piercing damage, and the target must make a {@dc 15} Constitution saving throw, taking 24 ({@damage 7d6}) poison damage on a failed save, or half as much damage on a successful one.""]}]",,,,
Awakened Shrub,MM,"[""S""]",plant,"[""U""]",[9],"{""average"": 10, ""formula"": ""3d6""}","{""walk"": 20}",3,8,11,10,10,6,,,10,"[""one language known by its creator""]",0,"[{""name"": ""False Appearance"", ""entries"": [""While the shrub remains motionless, it is indistinguishable from a normal shrub.""]}]","[{""name"": ""Rake"", ""entries"": [""{@atk mw} {@hit 1} to hit, reach 5 ft., one target. {@h}1 ({@damage 1d4 - 1}) slashing damage.""]}]",,,,
