Name,Source,Type,IsBaseItem,Rarity,Weight,Value,RequiresAttunement,Description,Property,Damage,DamageType,ArmorClass
Greataxe,PHB,M,True,none,7,3000,,,"[""H"", ""2H""]",1d12,S,
Greatclub,PHB,M,True,none,10,20,,,"[""2H""]",1d8,B,
Greatsword,PHB,M,True,none,6,5000,,,"[""H"", ""2H""]",2d6,S,
Halberd,PHB,M,True,none,6,2000,,,"[""H"", ""R"", ""2H""]",1d10,S,
Half Plate Armor,PHB,MA,True,none,40,75000,,"[""Half plate consists of shaped metal plates that cover most of the wearer's body. It does not include leg protection beyond simple greaves that are attached with leather straps.""]",,,,15
Hand Crossbow,PHB,R,True,none,3,7500,,,"[""A"", ""L"", ""LD""]",1d6,P,
Handaxe,PHB,M,True,none,2,500,,,"[""L"", ""T""]",1d6,S,
Heavy Crossbow,PHB,R,True,none,18,5000,,,"[""A"", ""H"", ""LD"", ""2H""]",1d10,P,
Hide Armor,PHB,MA,True,none,12,1000,,"[""This crude armor consists of thick furs and pelts. It is commonly worn by barbarian tribes, evil humanoids, and other folk who lack access to the tools and materials needed to create better armor.""]",,,,12
Horn,PHB,INS,True,none,2,300,,,,,,
Javelin,PHB,M,True,none,2,50,,,"[""T""]",1d6,P,
Jeweler's Tools,PHB,AT,True,none,2,2500,,,,,,
Lance,PHB,M,True,none,6,1000,,"[{""type"": ""entries"", ""name"": ""Special"", ""entries"": [""You have disadvantage when you use a lance to attack a target within 5 feet of you. Also, a lance requires two hands to wield when you aren't mounted.""]}]","[""R"", ""S""]",1d12,P,
Leather Armor,PHB,LA,True,none,10,1000,,"[""The breastplate and shoulder protectors of this armor are made of leather that has been stiffened by being boiled in oil. The rest of the armor is made of softer and more flexible materials.""]",,,,11
Leatherworker's Tools,PHB,AT,True,none,5,500,,,,,,
Light Crossbow,PHB,R,True,none,5,2500,,,"[""A"", ""LD"", ""2H""]",1d8,P,
Light Hammer,PHB,M,True,none,2,200,,,"[""L"", ""T""]",1d4,B,
Longbow,PHB,R,True,none,2,5000,,,"[""A"", ""H"", ""2H""]",1d8,P,
Longsword,PHB,M,True,none,3,1500,,,"[""V""]",1d8,S,
Lute,PHB,INS,True,none,2,3500,,,,,,
Lyre,PHB,INS,True,none,2,3000,,,,,,
Mace,PHB,M,True,none,4,500,,,,1d6,B,
Mason's Tools,PHB,AT,True,none,8,1000,,,,,,
Maul,PHB,M,True,none,10,1000,,,"[""H"", ""2H""]",2d6,B,
Morningstar,PHB,M,True,none,4,1500,,,,1d8,P,
Net,PHB,R,True,none,3,100,,"[{""type"": ""entries"", ""name"": ""Special"", ""entries"": [""A Large or smaller creature hit by a net is {@condition restrained} until it is freed. A net has no effect on creatures that are formless, or creatures that are Huge or larger. A creature can use its action to make a {@dc 10} Strength check, freeing itself or another creature within its reach on a success. Dealing 5 slashing damage to the net (AC 10) also frees the creature without harming it, ending the effect and destroying the net. When you use an action, bonus action, or reaction to attack with a net, you can make only one attack regardless of the number of attacks you can normally make.""]}]","[""S"", ""T""]",,,
Orb,PHB,SCF,True,none,3,2000,,,,,,
Padded Armor,PHB,LA,True,none,8,500,,"[""Padded armor consists of quilted layers of cloth and batting.""]",,,,11
Painter's Supplies,PHB,AT,True,none,5,1000,,,,,,
Pan Flute,PHB,INS,True,none,2,1200,,,,,,
Pike,PHB,M,True,none,18,500,,,"[""H"", ""R"", ""2H""]",1d10,P,
Plate Armor,PHB,HA,True,none,65,150000,,"[""Plate consists of shaped, interlocking metal plates to cover the entire body. A suit of plate includes gauntlets, heavy leather boots, a visored helmet, and thick layers of padding underneath the armor. Buckles and straps distribute the weight over the body.""]",,,,18
Potter's Tools,PHB,AT,True,none,3,1000,,,,,,
Quarterstaff,PHB,M,True,none,4,20,,,"[""V""]",1d6,B,
Rapier,PHB,M,True,none,2,2500,,,"[""F""]",1d8,P,
Ring Mail,PHB,HA,True,none,40,3000,,"[""This armor is leather armor with heavy rings sewn into it. The rings help reinforce the armor against blows from swords and axes. Ring mail is inferior to chain mail, and it's usually worn only by those who can't afford better armor.""]",,,,14
Rod,PHB,SCF,True,none,2,1000,,,,,,
Scale Mail,PHB,MA,True,none,45,5000,,"[""This armor consists of a coat and leggings (and perhaps a separate skirt) of leather covered with overlapping pieces of metal, much like the scales of a fish. The suit includes gauntlets.""]",,,,14
Scimitar,PHB,M,True,none,3,2500,,,"[""F"", ""L""]",1d6,S,
Shawm,PHB,INS,True,none,1,200,,,,,,
Shield,PHB,S,True,none,6,1000,,"[""A shield is made from wood or metal and is carried in one hand. Wielding a shield increases your Armor Class by 2. You can benefit from only one shield at a time.""]",,,,2
Shortbow,PHB,R,True,none,2,2500,,,"[""A"", ""2H""]",1d6,P,
Shortsword,PHB,M,True,none,2,1000,,,"[""F"", ""L""]",1d6,P,
Sickle,PHB,M,True,none,2,100,,,"[""L""]",1d4,S,
Sling,PHB,R,True,none,,10,,,"[""A""]",1d4,B,
Sling Bullet,PHB,A,True,none,0.075,0.2,,,,,,
Sling Bullets (20),PHB,A,True,none,1.5,4,,,,,,
Smith's Tools,PHB,AT,True,none,8,2000,,,,,,
Spear,PHB,M,True,none,3,100,,,"[""T"", ""V""]",1d6,P,
Splint Armor,PHB,HA,True,none,60,20000,,"[""This armor is made of narrow vertical strips of metal riveted to a backing of leather that is worn over cloth padding. Flexible chain mail protects the joints.""]",,,,17
Staff,PHB,SCF,True,none,4,500,,,"[""V""]",1d6,B,
Studded Leather Armor,PHB,LA,True,none,13,4500,,"[""Made from tough but flexible leather, studded leather is reinforced with close-set rivets or spikes.""]",,,,12
Tinker's Tools,PHB,AT,True,none,10,5000,,,,,,
Trident,PHB,M,True,none,4,500,,,"[""T"", ""V""]",1d6,P,
Viol,PHB,INS,True,none,1,3000,,,,,,
Wand,PHB,SCF,True,none,1,1000,,,,,,
War Pick,PHB,M,True,none,2,500,,,,1d8,P,
Warhammer,PHB,M,True,none,2,1500,,,"[""V""]",1d8,B,
Weaver's Tools,PHB,AT,True,none,5,100,,,,,,
Whip,PHB,M,True,none,3,200,,,"[""F"", ""R""]",1d4,S,
Woodcarver's Tools,PHB,AT,True,none,5,100,,,,,,
Wooden Staff,PHB,SCF,True,none,4,500,,,"[""V""]",1d6,B,
+1 Wand of the War Mage,DMG,WD|DMG,False,uncommon,1,,by a spellcaster,"[""While you are holding this wand, you gain a +1 bonus to spell attack rolls. In addition, you ignore {@quickref Cover||3||half cover} when making a spell attack.""]",,,,
+2 Wand of the War Mage,DMG,WD|DMG,False,rare,1,,by a spellcaster,"[""While you are holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore {@quickref Cover||3||half cover} when making a spell attack.""]",,,,
+3 Wand of the War Mage,DMG,WD|DMG,False,very rare,1,,by a spellcaster,"[""While you are holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore {@quickref Cover||3||half cover} when making a spell attack.""]",,,,
Abacus,PHB,G,False,none,2,200,,,,,,
Acid (vial),PHB,G,False,none,1,2500,,"[""As an action, you can splash the contents of this vial onto a creature within 5 feet of you or throw the vial up to 20 feet, shattering it on impact. In either case, make a ranged attack against a creature or object, treating the acid as an improvised weapon. On a hit, the target takes {@damage 2d6} acid damage.""]",,,,
Alchemist's Fire (flask),PHB,G,False,none,1,5000,,"[""This sticky, adhesive fluid ignites when exposed to air. As an action, you can throw this flask up to 20 feet, shattering it on impact. Make a ranged attack against a creature or object, treating the alchemist's fire as an improvised weapon. On a hit, the target takes {@damage 1d4} fire damage at the start of each of its turns. A creature can end this damage by using its action to make a {@dc 10} Dexterity check to extinguish the flames.""]",,,,
Ale (gallon),PHB,FD,False,none,,20,,,,,,
Ale (mug),PHB,FD,False,none,,4,,,,,,
Amulet,PHB,SCF,False,none,1,500,,,,,,
Amulet of Health,DMG,,False,rare,1,,true,"[""Your Constitution score is 19 while you wear this amulet. It has no effect on you if your Constitution score is already 19 or higher without it.""]",,,,
Amulet of Proof against Detection and Location,DMG,,False,uncommon,1,,true,"[""While wearing this amulet, you are hidden from {@filter divination|spells|school=D} magic. You can't be targeted by such magic or perceived through magical scrying sensors.""]",,,,
Amulet of the Planes,DMG,,False,very rare,1,,true,"[""While wearing this amulet, you can use an action to name a location that you are familiar with on another plane of existence. Then make a {@dc 15} Intelligence check. On a successful check, you cast the {@spell plane shift} spell. On a failure, you and each creature and object within 15 feet of you travel to a random destination. Roll a {@dice d100}. On a 1-60, you travel to a random location on the plane you named. On a 61-100, you travel to a randomly determined plane of existence.""]",,,,
Animated Shield,DMG,S,False,very rare,6,,true,"[""While holding this shield, you can speak its command word as a bonus action to cause it to animate. The shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The shield remains animated for 1 minute, until you use a bonus action to end this effect, or until you are {@condition incapacitated} or die, at which point the shield falls to the ground or into your hand if you have one free.""]",,,,2
Antitoxin (vial),PHB,G,False,none,,5000,,"[""A creature that drinks this vial of liquid gains advantage on saving throws against poison for 1 hour. It confers no benefit to undead or constructs.""]",,,,
Apparatus of Kwalish,DMG,,False,legendary,500,,,"[""This item first appears to be a Large sealed iron barrel weighing 500 pounds. The barrel has a hidden catch, which can be found with a successful {@dc 20} Intelligence ({@skill Investigation}) check. Releasing the catch unlocks a hatch at one end of the barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move either up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster."", ""The apparatus of Kwalish is a Large object with the following statistics:"", {""type"": ""list"", ""style"": ""list-hang-notitle"", ""items"": [{""type"": ""item"", ""name"": ""Armor Class:"", ""entry"": ""20""}, {""type"": ""item"", ""name"": ""Hit Points:"", ""entry"": ""200""}, {""type"": ""item"", ""name"": ""Speed:"", ""entry"": ""30 ft., swim 30 ft. (or 0 ft. for both if the legs and tail aren't extended)""}, {""type"": ""item"", ""name"": ""Damage Immunities:"", ""entry"": ""poison, psychic""}]}, ""To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside."", ""The apparatus floats on water. It can also go underwater to a depth of 900 feet. Below that, the vehicle takes {@damage 2d6} bludgeoning damage per minute from pressure."", ""A creature in the compartment can use an action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as shown in the Apparatus of Kwalish Levers table."", {""type"": ""table"", ""caption"": ""Apparatus of Kwalish Levers:"", ""colLabels"": [""Lever"", ""Up"", ""Down""], ""colStyles"": [""col-1 text-center"", ""col-5-5"", ""col-5-5""], ""rows"": [[""1"", ""Legs and tail extend, allowing the apparatus to walk and swim."", ""Legs and tail retract, reducing the apparatus's speed to 0 and making it unable to benefit from bonuses to speed.""], [""2"", ""Forward window shutter opens."", ""Forward window shutter closes.""], [""3"", ""Side window shutters open (two per side)."", ""Side window shutters close (two per side).""], [""4"", ""Two claws extend from the front sides of the apparatus."", ""The claws retract.""], [""5"", ""Each extended claw makes the following melee weapon attack: {@hit 8} to hit, reach 5 ft., one target. {@h} 7 ({@damage 2d6}) bludgeoning damage."", ""Each extended claw makes the following melee weapon attack: {@hit 8} to hit, reach 5 ft., one target. {@h} The target is {@condition grappled} (escape {@dc 15}).""], [""6"", ""The apparatus walks or swims forward."", ""The apparatus walks or swims backward.""], [""7"", ""The apparatus turns 90 degrees left."", ""The apparatus turns 90 degrees right.""], [""8"", ""Eyelike fixtures emit bright light in a 30-foot radius and dim light for an additional 30 feet."", ""The light turns off.""], [""9"", ""The apparatus sinks as much as 20 feet in liquid."", ""The apparatus rises up to 20 feet in liquid.""], [""10"", ""The rear hatch unseals and opens."", ""The rear hatch closes and seals.""]]}]",,,,
Armor of Invulnerability,DMG,HA,False,legendary,65,,true,"[""You have resistance to nonmagical damage while you wear this armor. Additionally, you can use an action to make yourself immune to nonmagical damage for 10 minutes or until you are no longer wearing the armor. Once this special action is used, it can't be used again until the next dawn.""]",,,,18
Armor of Vulnerability (Bludgeoning),DMG,HA,False,rare,65,,true,"[""While wearing this armor, you have resistance to bludgeoning damage."", {""type"": ""entries"", ""name"": ""Curse"", ""entries"": [""This armor is cursed, a fact that is revealed only when an {@spell identify} spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the {@spell remove curse} spell or similar magic; removing the armor fails to end the curse. While cursed you have vulnerability to piercing and slashing damage.""]}]",,,,18
Armor of Vulnerability (Piercing),DMG,HA,False,rare,65,,true,"[""While wearing this armor, you have resistance to piercing damage."", {""type"": ""entries"", ""name"": ""Curse"", ""entries"": [""This armor is cursed, a fact that is revealed only when an {@spell identify} spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the {@spell remove curse} spell or similar magic; removing the armor fails to end the curse. While cursed you have vulnerability to bludgeoning and slashing damage.""]}]",,,,18
Armor of Vulnerability (Slashing),DMG,HA,False,rare,65,,true,"[""While wearing this armor, you have resistance to slashing damage."", {""type"": ""entries"", ""name"": ""Curse"", ""entries"": [""This armor is cursed, a fact that is revealed only when an {@spell identify} spell is cast on the armor or you attune to it. Attuning to the armor curses you until you are targeted by the {@spell remove curse} spell or similar magic; removing the armor fails to end the curse. While cursed you have vulnerability to bludgeoning and piercing damage.""]}]",,,,18
Arrow-Catching Shield,DMG,S,False,rare,6,,true,"[""You gain a +2 bonus to AC against ranged attacks while you wield this shield. This bonus is in addition to the shield's normal bonus to AC. In addition, whenever an attacker makes a ranged attack against a target within 5 feet of you, you can use your reaction to become the target of the attack instead.""]",,,,2
Assassin's Blood,DMG,G,False,none,,15000,,"[""A creature subjected to this poison must make a {@dc 10} Constitution saving throw. On a failed save, it takes 6 ({@damage 1d12}) poison damage and is {@condition poisoned} for 24 hours. On a successful save, the creature takes half damage and isn't {@condition poisoned}.""]",,,,
Backpack,PHB,G,False,none,5,200,,"[""A backpack can hold one cubic foot or 30 pounds of gear. You can also strap items, such as a bedroll or a coil of rope, to the outside of a backpack.""]",,,,
Bag of Beans,DMG,,False,rare,0.5,,,"[""Inside this heavy cloth bag are {@dice 3d4} dry beans. The bag weighs ½ pound plus ¼ pound for each bean it contains."", ""If you dump the bag's contents out on the ground, they explode in a 10-foot radius, extending from the beans. Each creature in the area, including you, must make a {@dc 15} Dexterity saving throw, taking {@damage 5d4} fire damage on a failed save, or half as much damage on a successful one. The fire ignites flammable objects in the area that aren't being worn or carried."", ""If you remove a bean from the bag, plant it in dirt or sand, and then water it, the bean produces an effect 1 minute later from the ground where it was planted. The DM can choose an effect from the following table, determine it randomly, or create an effect."", {""type"": ""table"", ""colLabels"": [""{@dice d100}"", ""Effect""], ""colStyles"": [""col-1 text-center"", ""col-11""], ""rows"": [[""01"", ""{@dice 5d4} toadstools sprout. If a creature eats a toadstool, roll any die. On an odd roll, the eater must succeed on a {@dc 15} Constitution saving throw or take {@damage 5d6} poison damage and become {@condition poisoned} for 1 hour. On an even roll, the eater gains {@dice 5d6} temporary hit points for 1 hour.""], [""02-10"", ""A geyser erupts and spouts water, beer, berry juice, tea, vinegar, wine, or oil (DM's choice) 30 feet into the air for {@dice 1d12} rounds.""], [""11-20"", ""A {@creature treant} sprouts. There's a {@chance 50} chance that the treant is chaotic evil and attacks.""], [""21-30"", ""An animate, immobile stone statue in your likeness rises. It makes verbal threats against you. If you leave it and others come near, it describes you as the most heinous of villains and directs the newcomers to find and attack you. If you are on the same plane of existence as the statue, it knows where you are. The statue becomes inanimate after 24 hours.""], [""31-40"", ""A campfire with blue flames springs forth and burns for 24 hours (or until it is extinguished).""], [""41-50"", ""{@dice 1d6 + 6} {@creature shrieker||shriekers} sprout.""], [""51-60"", ""{@dice 1d4 + 8} bright pink toads crawl forth. Whenever a toad is touched, it transforms into a Large or smaller monster of the DM's choice. The monster remains for 1 minute, then disappears in a puff of bright pink smoke.""], [""61-70"", ""A hungry {@creature bulette} burrows up and attacks.""], [""71-80"", ""A fruit tree grows. It has {@dice 1d10 + 20} fruit, {@dice 1d8} of which act as randomly determined magic potions, while one acts as an ingested poison of the DM's choice. The tree vanishes after 1 hour. Picked fruit remains, retaining any magic for 30 days.""], [""81-90"", ""A nest of {@dice 1d4 + 3} eggs springs up. Any creature that eats an egg must make a {@dc 20} Constitution saving throw. On a successful save, a creature permanently increases its lowest ability score by 1, randomly choosing among equally low scores. On a failed save, the creature takes {@damage 10d6} force damage from an internal magical explosion.""], [""91-99"", ""A pyramid with a 60-foot-square base bursts upward. Inside is a sarcophagus containing a {@creature mummy lord}. The pyramid is treated as the {@creature mummy lord||mummy lord's} lair, and its sarcophagus contains treasure of the DM's choice.""], [""00"", ""A giant beanstalk sprouts, growing to a height of the DM's choice. The top leads where the DM chooses, such as to a great view, a {@creature cloud giant||cloud giant's} castle, or a different plane of existence.""]]}]",,,,
Bag of Devouring,DMG,,False,very rare,15,,,"[""This bag superficially resembles a {@item bag of holding} but is a feeding orifice for a gigantic extradimensional creature. Turning the bag inside out closes the orifice."", ""The extradimensional creature attached to the bag can sense whatever is placed inside the bag. Animal or vegetable matter placed wholly in the bag is devoured and lost forever. When part of a living creature is placed in the bag, as happens when someone reaches inside it, there is a {@chance 50} chance that the creature is pulled inside the bag. A creature inside the bag can use its action to try to escape with a successful {@dc 15} Strength check. Another creature can use its action to reach into the bag to pull a creature out, doing so with a successful {@dc 20} Strength check (provided it isn't pulled inside the bag first). Any creature that starts its turn inside the bag is devoured, its body destroyed."", ""Inanimate objects can be stored in the bag, which can hold a cubic foot of such material. However, once each day, the bag swallows any objects inside it and spits them out into another plane of existence. The DM determines the time and plane."", ""If the bag is pierced or torn, it is destroyed, and anything contained within it is transported to a random location on the Astral Plane.""]",,,,
Bag of Holding,DMG,,False,uncommon,15,,,"[""This bag has an interior space considerably larger than its outside dimensions, roughly 2 feet in diameter at the mouth and 4 feet deep. The bag can hold up to 500 pounds, not exceeding a volume of 64 cubic feet. The bag weighs 15 pounds, regardless of its contents. Retrieving an item from the bag requires an action."", ""If the bag is overloaded, pierced, or torn, it ruptures and is destroyed, and its contents are scattered in the Astral Plane. If the bag is turned inside out, its contents spill forth, unharmed, but the bag must be put right before it can be used again. Breathing creatures inside the bag can survive up to a number of minutes equal to 10 divided by the number of creatures (minimum 1 minute), after which time they begin to suffocate."", ""Placing a bag of holding inside an extradimensional space created by a {@item Heward's handy haversack}, {@item portable hole}, or similar item instantly destroys both items and opens a gate to the Astral Plane. The gate originates where the one item was placed inside the other. Any creature within 10 feet of the gate is sucked through it to a random location on the Astral Plane. The gate then closes. The gate is one-way only and can't be reopened.""]",,,,
"Bag of Tricks, Gray",DMG,,False,uncommon,0.5,,,"[""This ordinary bag, made from gray cloth, appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object."", ""You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a {@dice d8} and consulting the table. The creature vanishes at the next dawn or when it is reduced to 0 hit points."", ""The creature is friendly to you and your companions, and it acts on your turn. You can use a bonus action to command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its nature."", ""Once three fuzzy objects have been pulled from the bag, the bag can't be used again until the next dawn."", {""type"": ""table"", ""colLabels"": [""{@dice d8}"", ""Creature""], ""colStyles"": [""col-1 text-center"", ""col-11""], ""rows"": [[""1"", ""{@creature Weasel}""], [""2"", ""{@creature Giant rat}""], [""3"", ""{@creature Badger}""], [""4"", ""{@creature Boar}""], [""5"", ""{@creature Panther}""], [""6"", ""{@creature Giant badger}""], [""7"", ""{@creature Dire wolf}""], [""8"", ""{@creature Giant elk}""]]}]",,,,
"Bag of Tricks, Rust",DMG,,False,uncommon,0.5,,,"[""This ordinary bag, made from rust cloth, appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object."", ""You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a {@dice d8} and consulting the table. The creature vanishes at the next dawn or when it is reduced to 0 hit points."", ""The creature is friendly to you and your companions, and it acts on your turn. You can use a bonus action to command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its nature."", ""Once three fuzzy objects have been pulled from the bag, the bag can't be used again until the next dawn."", {""type"": ""table"", ""colLabels"": [""{@dice d8}"", ""Creature""], ""colStyles"": [""col-1 text-center"", ""col-11""], ""rows"": [[""1"", ""{@creature Rat}""], [""2"", ""{@creature Owl}""], [""3"", ""{@creature Mastiff}""], [""4"", ""{@creature Goat}""], [""5"", ""{@creature Giant goat}""], [""6"", ""{@creature Giant boar}""], [""7"", ""{@creature Lion}""], [""8"", ""{@creature Brown bear}""]]}]",,,,
"Bag of Tricks, Tan",DMG,,False,uncommon,0.5,,,"[""This ordinary bag, made from tan cloth, appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object."", ""You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a {@dice d8} and consulting the table. The creature vanishes at the next dawn or when it is reduced to 0 hit points."", ""The creature is friendly to you and your companions, and it acts on your turn. You can use a bonus action to command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its nature."", ""Once three fuzzy objects have been pulled from the bag, the bag can't be used again until the next dawn."", {""type"": ""table"", ""colLabels"": [""{@dice d8}"", ""Creature""], ""colStyles"": [""col-1 text-center"", ""col-11""], ""rows"": [[""1"", ""{@creature Jackal}""], [""2"", ""{@creature Ape}""], [""3"", ""{@creature Baboon}""], [""4"", ""{@creature Axe beak}""], [""5"", ""{@creature Black bear}""], [""6"", ""{@creature Giant weasel}""], [""7"", ""{@creature Giant hyena}""], [""8"", ""{@creature Tiger}""]]}]",,,,
Ball Bearing,PHB,G,False,none,0.002,0.1,,"[""Most commonly found inside a {@item Ball Bearings (Bag of 1,000)|phb|bag of ball bearings}.""]",,,,
"Ball Bearings (bag of 1,000)",PHB,G,False,none,2,100,,"[""As an action, you can spill these tiny metal balls from their pouch to cover a level area 10 feet square. A creature moving across the covered area must succeed on a {@dc 10} Dexterity saving throw or fall {@condition prone}. A creature moving through the area at half speed doesn't need to make the saving throw.""]",,,,
Barrel,PHB,G,False,none,70,200,,"[""A barrel can hold 40 gallons of liquid or 4 cubic feet of solids.""]",,,,
Basic Poison (vial),PHB,G,False,none,,10000,,"[""You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a {@dc 10} Constitution saving throw or take {@damage 1d4} poison damage. Once applied, the poison retains potency for 1 minute before drying.""]",,,,
Basket,PHB,G,False,none,2,40,,"[""A basket holds 2 cubic feet or 40 pounds of gear.""]",,,,
Bead of Force,DMG,,False,rare,0.0625,,,"[""This small black sphere measures ¾ of an inch in diameter and weighs an ounce. Typically, {@dice 1d4 + 4} {@italic beads of force} are found together."", ""You can use an action to throw the bead up to 60 feet. The bead explodes on impact and is destroyed. Each creature within a 10-foot radius of where the bead landed must succeed on a {@dc 15} Dexterity saving throw or take {@damage 5d4} force damage. A sphere of transparent force then encloses the area for 1 minute. Any creature that failed the save and is completely within the area is trapped inside this sphere. Creatures that succeeded on the save, or are partially within the area, are pushed away from the center of the sphere until they are no longer inside it. Only breathable air can pass through the sphere's wall. No attack or other effect can."", ""An enclosed creature can use its action to push against the sphere's wall, moving the sphere up to half the creature's walking speed. The sphere can be picked up, and its magic causes it to weigh only 1 pound, regardless of the weight of creatures inside.""]",,,,
Bedroll,PHB,G,False,none,7,100,,,,,,
Bell,PHB,G,False,none,,100,,,,,,
Belt of Cloud Giant Strength,DMG,,False,legendary,,,true,"[""While wearing this belt, your Strength score changes to 27. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",,,,
Belt of Dwarvenkind,DMG,,False,rare,,,true,"[""While wearing this belt, you gain the following benefits:"", {""type"": ""list"", ""items"": [""Your Constitution score increases by 2, to a maximum of 20."", ""You have advantage on Charisma ({@skill Persuasion}) checks made to interact with dwarves.""]}, ""In addition, while attuned to the belt, you have a {@chance 50} chance each day at dawn of growing a full beard if you're capable of growing one, or a visibly thicker beard if you already have one."", ""If you aren't a dwarf, you gain the following additional benefits while wearing the belt:"", {""type"": ""list"", ""items"": [""You have advantage on saving throws against poison, and you have resistance against poison damage."", ""You have {@sense darkvision} out to a range of 60 feet."", ""You can speak, read, and write Dwarvish.""]}]",,,,
Belt of Fire Giant Strength,DMG,,False,very rare,,,true,"[""While wearing this belt, your Strength score changes to 25. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",,,,
Belt of Frost Giant Strength,DMG,,False,very rare,,,true,"[""While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",,,,
Belt of Hill Giant Strength,DMG,,False,rare,,,true,"[""While wearing this belt, your Strength score changes to 21. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",,,,
Belt of Stone Giant Strength,DMG,,False,very rare,,,true,"[""While wearing this belt, your Strength score changes to 23. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",,,,
Belt of Storm Giant Strength,DMG,,False,legendary,,,true,"[""While wearing this belt, your Strength score changes to 29. The item has no effect on you if your Strength without the belt is equal to or greater than the belt's score.""]",,,,
