Name,Source,FeatureType,Prerequisite,Description
Eldritch Spear,PHB,"[""EI""]","[{""spell"": [""eldritch blast#c""]}]","[""When you cast {@spell eldritch blast}, its range is 300 feet.""]"
Empowered Spell,PHB,"[""MM""]",,"[""When you roll damage for a spell, you can spend 1 sorcery point to reroll a number of the damage dice up to your Charisma modifier (minimum of one). You must use the new rolls."", ""You can use Empowered Spell even if you have already used a different Metamagic option during the casting of the spell.""]"
Extended Spell,PHB,"[""MM""]",,"[""When you cast a spell that has a duration of 1 minute or longer, you can spend 1 sorcery point to double its duration, to a maximum duration of 24 hours.""]"
Eyes of the Rune Keeper,PHB,"[""EI""]",,"[""You can read all writing.""]"
Fiendish Vigor,PHB,"[""EI""]",,"[""You can cast {@spell false life} on yourself at will as a 1st-level spell, without expending a spell slot or material components.""]"
Gaze of Two Minds,PHB,"[""EI""]",,"[""You can use your action to touch a willing humanoid and perceive through its senses until the end of your next turn. As long as the creature is on the same plane of existence as you, you can use your action on subsequent turns to maintain this connection, extending the duration until the end of your next turn. While perceiving through the other creature's senses, you benefit from any special senses possessed by that creature, and you are {@condition blinded} and {@condition deafened} to your own surroundings.""]"
Great Weapon Fighting,PHB,"[""FS:F"", ""FS:P""]",,"[""When you roll a 1 or 2 on a damage die for an attack you make with a melee weapon that you are wielding with two hands, you can reroll the die and must use the new roll, even if the new roll is a 1 or a 2. The weapon must have the two-handed or versatile property for you to gain this benefit.""]"
Heightened Spell,PHB,"[""MM""]",,"[""When you cast a spell that forces a creature to make a saving throw to resist its effects, you can spend 3 sorcery points to give one target of the spell disadvantage on its first saving throw made against the spell.""]"
Lifedrinker,PHB,"[""EI""]","[{""level"": {""level"": 12, ""class"": {""name"": ""Warlock""}}, ""pact"": ""Blade""}]","[""When you hit a creature with your pact weapon, the creature takes extra necrotic damage equal to your Charisma modifier (minimum of 1).""]"
Mask of Many Faces,PHB,"[""EI""]",,"[""You can cast {@spell disguise self} at will, without expending a spell slot.""]"
Master of Myriad Forms,PHB,"[""EI""]","[{""level"": {""level"": 15, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell alter self} at will, without expending a spell slot.""]"
Minions of Chaos,PHB,"[""EI""]","[{""level"": {""level"": 9, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell conjure elemental} once using a warlock spell slot. You can't do so again until you finish a long rest.""]"
Mire the Mind,PHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell slow} once using a warlock spell slot. You can't do so again until you finish a long rest.""]"
Misty Visions,PHB,"[""EI""]",,"[""You can cast {@spell silent image} at will, without expending a spell slot or material components.""]"
One with Shadows,PHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock""}}}]","[""When you are in an area of dim light or darkness, you can use your action to become {@condition invisible} until you move or take an action or a reaction.""]"
Otherworldly Leap,PHB,"[""EI""]","[{""level"": {""level"": 9, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell jump} on yourself at will, without expending a spell slot or material components.""]"
Pact of the Blade,PHB,"[""PB""]",,"[""You can use your action to create a pact weapon in your empty hand. You can choose the form that this melee weapon takes each time you create it (see chapter 5 for weapon options). You are proficient with it while you wield it. This weapon counts as magical for the purpose of overcoming resistance and immunity to nonmagical attacks and damage."", ""Your pact weapon disappears if it is more than 5 feet away from you for 1 minute or more. It also disappears if you use this feature again, if you dismiss the weapon (no action required), or if you die."", ""You can transform one magic weapon into your pact weapon by performing a special ritual while you hold the weapon. You perform the ritual over the course of 1 hour, which can be done during a short rest. You can then dismiss the weapon, shunting it into an extradimensional space, and it appears whenever you create your pact weapon thereafter. You can't affect an artifact or a sentient weapon in this way. The weapon ceases being your pact weapon if you die, if you perform the 1-hour ritual on a different weapon, or if you use a 1-hour ritual to break your bond to it. The weapon appears at your feet if it is in the extradimensional space when the bond breaks.""]"
Pact of the Chain,PHB,"[""PB""]",,"[""You learn the {@spell find familiar} spell and can cast it as a ritual. The spell doesn't count against your number of spells known."", ""When you cast the spell, you can choose one of the normal forms for your familiar or one of the following special forms: {@creature imp}, {@creature pseudodragon}, {@creature quasit}, or {@creature sprite}."", ""Additionally, when you take the {@action Attack} action, you can forgo one of your own attacks to allow your familiar to use its reaction to make one attack of its own.""]"
Pact of the Tome,PHB,"[""PB""]",,"[""Your patron gives you a grimoire called a Book of Shadows. When you gain this feature, choose three {@filter cantrips|spells|level=0} from any class's spell list. The cantrips do not need to be from the same spell list. While the book is on your person, you can cast those cantrips at will. They don't count against your number of cantrips known. Any cantrip you cast with this feature is considered a warlock cantrip for you. If you lose your Book of Shadows, you can perform a 1-hour ceremony to receive a replacement from your patron. This ceremony can be performed during a short or long rest, and it destroys the previous book. The book turns to ash when you die.""]"
Protection,PHB,"[""FS:F"", ""FS:P""]",,"[""When a creature you can see attacks a target other than you that is within 5 feet of you, you can use your reaction to impose disadvantage on the attack roll. You must be wielding a shield.""]"
Quickened Spell,PHB,"[""MM""]",,"[""When you cast a spell that has a casting time of 1 action, you can spend 2 sorcery points to change the casting time to 1 bonus action for this casting.""]"
Repelling Blast,PHB,"[""EI""]","[{""spell"": [""eldritch blast#c""]}]","[""When you hit a creature with {@spell eldritch blast}, you can push the creature up to 10 feet away from you in a straight line.""]"
Sculptor of Flesh,PHB,"[""EI""]","[{""level"": {""level"": 7, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell polymorph} once using a warlock spell slot. You can't do so again until you finish a long rest.""]"
Sign of Ill Omen,PHB,"[""EI""]","[{""level"": {""level"": 5, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell bestow curse} once using a warlock spell slot. You can't do so again until you finish a long rest.""]"
Subtle Spell,PHB,"[""MM""]",,"[""When you cast a spell, you can spend 1 sorcery point to cast it without any somatic or verbal components.""]"
Thief of Five Fates,PHB,"[""EI""]",,"[""You can cast {@spell bane} once using a warlock spell slot. You can't do so again until you finish a long rest.""]"
Thirsting Blade,PHB,"[""EI""]","[{""pact"": ""Blade"", ""level"": {""level"": 5, ""class"": {""name"": ""Warlock""}}}]","[""You can attack with your pact weapon twice, instead of once, whenever you take the {@action Attack} action on your turn.""]"
Twinned Spell,PHB,"[""MM""]",,"[""When you cast a spell that targets only one creature and doesn't have a range of self, you can spend a number of sorcery points equal to the spell's level to target a second creature in range with the same spell (1 sorcery point if the spell is a cantrip)."", ""To be eligible, a spell must be incapable of targeting more than one creature at the spell's current level. For example, {@spell magic missile} and {@spell scorching ray} aren't eligible, but {@spell ray of frost} and {@spell chromatic orb} are.""]"
Two-Weapon Fighting,PHB,"[""FS:F"", ""FS:B"", ""FS:R""]",,"[""When you engage in two-weapon fighting, you can add your ability modifier to the damage of the second attack.""]"
Visions of Distant Realms,PHB,"[""EI""]","[{""level"": {""level"": 15, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell arcane eye} at will, without expending a spell slot.""]"
Voice of the Chain Master,PHB,"[""EI""]","[{""pact"": ""Chain""}]","[""You can communicate telepathically with your familiar and perceive through your familiar's senses as long as you are on the same plane of existence. Additionally, while perceiving through your familiar's senses, you can also speak through your familiar in your own voice, even if your familiar is normally incapable of speech.""]"
Whispers of the Grave,PHB,"[""EI""]","[{""level"": {""level"": 9, ""class"": {""name"": ""Warlock""}}}]","[""You can cast {@spell speak with dead} at will, without expending a spell slot.""]"
Witch Sight,PHB,"[""EI""]","[{""level"": {""level"": 15, ""class"": {""name"": ""Warlock""}}}]","[""You can see the true form of any shapechanger or creature concealed by illusion or transmutation magic while the creature is within 30 feet of you and within line of sight.""]"
